full_text,label
Indonesia Terang Realisasi Investasi kuartal 1 melampaui target. Optimistis dan kerja keras harus tetap dijaga oleh bangsa ini. Terima kasih presiden @prabowo https://t.co/Ex38P7qs2K,neutral
Hasan Nasbi mengundurkan diri dari jabatannya sebagai Kepala Kantor Komunikasi Kepresidenan. Surat pengunduran diri Hasan sudah dikirimkan kepada Presiden Prabowo Subianto melalui Sekrestaris Kabinet Teddy Indra Wijaya dan Menteri Sekretaris Negara Prasetyo Hadi. #tempodotco https://t.co/UoFUsUA6Jy,neutral
Presiden Prabowo Subianto: Danantara Indonesia bukan milik kita bukan milik orang tua kita bukan milik partai kita bukan milik golongan tapi milik rakyat Indonesia yang harus kita jaga. https://t.co/WWkiaShKAu,neutral
Hasan Nasbi menyatakan mundur dari jabatan Kepala Kantor Komunikasi Kepresidenan. Ia mengaku telah menandatangani surat pengunduran dirinya dan surat tersebut telah dikirimkan ke Presiden Prabowo Subianto. Senin (21/4/2025) menjadi hari terakhir Hasan Nasbi bertugas Hasan Nasbi https://t.co/rl9GahC8UJ,neutral
Kenapa pas Presiden Prabowo ngomong di Townhall Danantara acaranya ditutup? Karena isinya banyak teguran buat para direksi BUMN. Biar enggak ada yg malu2in di depan umum. Fokusnya beresin masalah bukan cari tepuk tangan. Tapi tetep sih ini bakal jadi bahan gorengan. https://t.co/C7uToaQKTb,negative
@ardisatriawan Makan Beracun Gratis kali ini menelan korban lagi bukan murid atau gurunya tapi kepala sekolah nya. Pak presiden gemoy Yth @prabowo kami mohon dengan sangat hentikan kekacauan ini segera.,negative
Peluang Memakzulkan Gibran Rakabuming Raka Prabowo Subianto merespons usulan pemakzulan Wakil Presiden Gibran Rakabuming Raka dengan mengutus Wiranto untuk berkomunikasi dengan para pengusul dari Forum Purnawirawan TNI. #TempoHarian #TempoPlus https://t.co/CB2Q4Zl5r0,neutral
Kepada YTH Presiden @prabowo Cc @DivHumas_Polri @ListyoSigitP @ahriesonta @Divpropam @habiburokhman @hincapandjaitan FYI Dugaan Otak pelaku sudah menjadi Obrolan di warung2 Kopi Se sumatera utara DEMI MENJAGA KEWIBAWAAN LEMBAGA JANGAN TAKUT KEHILANGAN 2 PERWIRA https://t.co/mnDMsZnD60,neutral
Salah-satu alasan politik mengapa Wakil Presiden Gibran Rakabuming Raka sangat-sangat sulit diturunkan dari jabatannya karena Prabowo masih memerlukan Jokowi demi memperkuat kekuasaannya kata pengamat. https://t.co/xibMrGJ3fb,neutral
Pak Presiden @prabowo @Gerindra @gibran_tweet @SBYudhoyono @KompasTV @Metro_TV @tvOneNews @IDNTimes @tempodotco,neutral
DANANTARA dikelola secara TRANSPARAN Saat Presiden Prabowo beri arahan/pidato terkait Danantara Wartawan tak diizinkan meliput. Terbukti sungguh TRANSPARAN (ngusirnya)... https://t.co/f3yE16nbSR,neutral
PDIP menilai Presiden Prabowo Subianto perlu merespons serius soal usulan purnawirawan TNI yang meminta Wakil Presiden (Wapres) Gibran Rakabuming Raka dicopot. Karena usulan purnawirawan TNI ini dinilai tak sembarangan. https://t.co/d6GEp0WGE7,neutral
Arahan Presiden Prabowo mengenai Danantara Seluruh awak media diperintahkan keluar ruangan. Cuma dengan alasan 'karena satu dan lain hal' ADA APA INI?? Jangan salahin publik kalau makin curiga pada mahluk Danantara ini. https://t.co/jU1aaEPGt4,negative
Hal tersebut disampaikan Presiden Prabowo Subianto usai memberikan arahan secara tertutup dalam agenda Town Hall Meeting Badan Pengelola Investasi (BPI) Danantara di Jakarta Convention Center Senin (28/4/2025). Ini merupakan pertemuan pengurus BPI Danantara dengan jajaran https://t.co/4IGMeaY1xK,neutral
Joko Widodo menghadiri pemakaman Paus Fransiskus sebagai utusan khusus Presiden Prabowo Subianto. Patutkah Prabowo mengutus Jokowi ke Vatikan? #TempoThread https://t.co/a05yqCdrng,neutral
Fufufafa cuma celingak celinguk saat mendampingi Presiden Prabowo rapat bersama pengusaha Korea https://t.co/8ISqyKRg2Q,neutral
Copot Gibran makin rame PDIP sdh mulai ikut bersuara. Anggota Komisi II DPR: Presiden Prabowo harus mempersiapkan sebuah tim yang betul-betul independen untuk menguji Ok gas Punawirawan TNI Usul Wapres Gibran Dicopot. Legislator: Mereka Tak Mau Bangsa Ini Rusak. https://t.co/umbMDO9qYx,neutral
@CitraMexia @tempodotco Saya setuju bahwa transparansi penting untuk Danantara yang mengelola aset publik bernilai triliunan. Larangan jurnalis meliput pidato Presiden Prabowo pada 28 April 2025 menimbulkan kekhawatiran karena rakyat berhak tahu penggunaan dana mereka. Meski ada kemungkinan alasan,neutral
Saran awak baiknya kader PD ga usah ikut2an bela Mulyono terkait issu ijazah palsu. Lbh baik klen fokus bekerja di kabinet pemerintahan Presiden Prabowo. Klen lupa tempohr Mulyono site visit ke Hambalang? Tujuan dia itu ngejek klen para kader PD khususnya pak SBY. Paham!,negative
Sutiyoso adalah Dewan Penasehat Timnas AMIN sementara Fachrul Razi adalah Menteri Agama yg dipecat Jokowi. Gibran hanyalah sasaran antara jika berhasil maka berlanjut ke sasaran utamanya yaitu pemakzulan Presiden @prabowo. Ingat dulu mereka sudah pernah berusaha. https://t.co/LkfXXnizaE,neutral
Departemen Pertanian Amerika Serikat (USDA) GELENG2 Kepala melihat lompatan signifikan produksi beras Indonesia Negeri pengimport beras terbesar mendadak menjadi produsen beras tercepat di kawasan Asia Tenggara Thailand terkejut Kami bangga kpdmu Presiden @prabowo 🇲🇨 https://t.co/iQm8kfkn6R,neutral
 PDIP Nilai Usulan Purnawirawan TNI Pencopotan Wapres Gibran Menarik tapi tetap mendukung Presiden Prabowo untuk mengkaji lebih dulu. Makin rame aja Sc : trubunnewsupdate https://t.co/PuOSUjXrqx,neutral
@DokterTifa @KRMTRoySuryo1 @SianiparRismon @msaid_didu @abu_waras @__AnakKolong @Naz_lira @V3g3L POLISI GERCEP TERSANGKAKAN PENGGUGGAT JOKOWI TAPI DIAM SOAL IJAZAH PALSU SI TUKANG KAYU Smp kpn polisi jd bumper Jokowi? Halo Presiden Prabowo apa kbrr?! https://t.co/ZhCjXeY6Dd https://t.co/gK6tHKSY80,negative
Sebenernya gue ga ada masalah mengutus mantan presiden buat ngelayat Paus. Tapi penasaran ada halangan apa Presiden Prabowo gak bisa dateng sendiri padahal pas semua world leaders pada dateng. Seems like a major missed opportunity buat hangout sama yg lain,negative
Alhamdulillah usai menjalankan tugas dari Presiden @prabowo P'de @jokowi tiba fi tanah air seperti biasa dimanapun kapanpun masyarakat antusias ingin hanya berfoto bareng P'de Jokowi Sehat selalu orang baik .... https://t.co/KGvWB1C8k8,positive
Mas wapres @gibran_tweet sosok anak muda pekerja keras teruji kerjanya dgn kota solo yg jauh lbh baik di bawah Kepemimpinan beliau kini dampingi Presiden @prabowo bersatu membangun Negri Sosok yg paling di takutin kaum Banteng kadrun n para aki²yg haus kekuasaan para manusia https://t.co/E55ic0zCER,neutral
Mantan Anak Buah Prabowo: Gibran Tinggal Tunggu Waktu Jadi Presiden! https://t.co/uS7Ezj6rID,neutral
@DokterTifa @prabowo Gw malu cokkk. Aneh anjir mantan presiden malah hadir buat mewakili presiden? Kocak emang. Apakah ini bapak mau mewakili anaknya yg kosong? Ga digubris ya bener org dia secara hukum udh pensiun dan gapunya power so buat apa petinggi negara lain ngeladenin dia?,negative
Tdk ada matahari kembar apalagi petugas partai. Era Pak SBY berkuasa beliau menghormati presiden sebelumnya demikian pula era saat ini ketika Pak Prabowo berkuasa. Tapi ketika PDIP berkuasa Pak Jokowi sejak awal sdh menjalin komunikasi dgn Pak SBY tapi ditentang keras oleh PDIP,negative
@DokterTifa @prabowo Ketika JKW msh presiden diacuhkan pr kepala negara lain. Skrg sdh mantan mestinya dihormati msh juga diacuhkan pr pemimpin dunia. Yg malu bukan hanya pendukungnya kita sbg rakyat juga malu. Duh apes. https://t.co/LxbbA71p3C,negative
Kita ini kadang senang meributi hal remeh temeh dan pepesan kosong. Karena tidak bisa menghadiri langsung sudah benar itu Presiden @prabowo menunjuk pak @jokowi jadi pimpinan utusan khusus Republik Indonesia menghadiri pemakaman Paus. Dan itu juga untuk menghargai tuan rumah https://t.co/p9CIRPlNvO,positive
Presiden Prabowo Subianto Salah satu pemimpin yang selalu menghormati rakyatnya Depok 26 April 2025 https://t.co/ulZgCeAxUK,neutral
Indonesia DIHEMPAS BADAI BAIK Minggu ini Indonesia dicatat dunia TAK sekedar bertahan tetapi MELANGITKAN diri 🇲🇨 Saat negara2 lain masih berjibaku bangkit dari perang dagang iSHG dicatat pulih paling cepat dll dll dll Rapatkan barisan satu komando Presiden @prabowo 🇮🇩 https://t.co/lw084i63fZ,neutral
Ganjar Pranowo Tanggapi Soal Isu Matahari Kembar: Presiden Prabowo Harus Segera Ambil Alih! https://t.co/K4CBuOv2zM,neutral
Andi Widjajanto mengkritik Presiden Prabowo dgn mengatakan baru kali ini ada presiden RI yang masih menjabat mengutus presiden yg sudah tidak menjabat. Dia lupa thn.2017 Presiden ke 7 Jokowi mengutus Megawati untuk menghadiri royal cremation Raja Thailand. Apakah Megawati bukan,negative
Setelah Prabowo Mengutus Jokowi ke Vatikan Keputusan Presiden Prabowo Subianto mengutus Joko Widodo sebagai utusan khusus presiden ke Vatikan menyisakan polemik. #TempoHarian #TempoPlus https://t.co/3CTjIzz7hI,neutral
Dunia sangat benci dengan Koruptor Mendiang Paus Franciscus sangat Anti Koruptor China hukum mati koruptor. Amerika hukum ratusan tahun koruptor di penjara maksimum Lalu ada Finalis Koruptor dunia berani hadir? Jadi maksudnya Presiden @prabowo mengirim orang ini untuk https://t.co/q0fyQVMzb6,negative
Dulu ketika debat Capres Jokowi pernah menyindir keterlibatan Prabowo dalam kasus pelanggaran HAM. Karena alasan itulah Jokowi menilai dirinya lebih layak jadi presiden dibanding Prabowo. Hal tersebut juga jadi alasan saya dan teman² lebih memilih Jokowi saat itu. Namun di,neutral
Pak Presiden @prabowo Sy baru tahu berita ini. Dan kaget dong. Si Rabuka PM Fiji ini adalah tukang nyinyir Indonesia. Coba google sebentar cari pernyataan2 lamanya. Baru loh setahun dua tahun lalu. Tahu tidak fakta ini? Saya bisa paham Pak Presiden memang pemaaf. Orang2 https://t.co/EaeOUwyd5l,negative
Saya bersama Wakil Menteri Keuangan Bapak Thomas Djiwandono ketua panitia penyambutan saat kunjungan Paus Fransiskus di Jakarta pada September silam Bapak Ignasius Jonan serta Menteri Hak Asasi Manusia Bapak Natalius Pigai memenuhi perintah Presiden Prabowo untuk menghadiri https://t.co/D2pEF0bqMp,neutral
Pak @jokowi dan para utusan presiden @prabowo berdoa di depan Peti Jenazah Paus Fransiskus https://t.co/CdKWyUDFp4,neutral
Detik-detik Pak Jokowi dan Utusan Presiden Prabowo Doakan Paus Fransiskus di Basilika Santa Maria Maggiore Roma. https://t.co/u50VkoOlRY,neutral
Jokowi diutus Prabowo ke Vatikan berharap diperlakukan seperti di Indonesia sebagai Presiden Bayangan eh tahunya dicuekin.. Kalau ga sadar juga fix sih ndableg..,negative
Kroni Presiden dan para pendukungnya menikmati proyek makan bergizi gratis. Yayasan yang didirikan Prabowo Subianto turut serta #TempoPlus #TempoMBG https://t.co/WJGRQ5aBVA,neutral
Faham kan why @jokowi yg di utusan k Pemakaman Paus Fransiskus karena Presiden @prabowo tau meski sudah purna tugas Presiden ke-7 namun pengaruhnya di dunia internasional masih sangat berpengaruh terbukti beliau masih berdiri di barisan depan berdampingan dgn pemimpin dunia https://t.co/VRAEOReOY4,positive
Kepala Badan Riset dan Analisis Kebijakan Pusat PDIP ini mengaku tidak paham terhadap keputusan Presiden Prabowo Subianto yang mengutus Presiden ke-7 RI Jokowi untuk menjadi salah satu perwakilan Indonesia ke pemakaman Paus Fransiskus. | #Jpkowi #PDIP https://t.co/OImCTL6mtP,neutral
Menurut Feri Amsari Dari 5 bulan berkuasa Pertemuan Antara Presiden Prabowo dgn Jokowi itu kebanyakan . Dan lagi menurut Feri Masak ada mantan Presiden mau bertemu tiap sebulan sekali ? https://t.co/toUjxEMg9n,neutral
Mantan Gubernur Lemhannas Andi Widjajanto mengatakan baru kali ini ada presiden RI yang masih menjabat mengutus presiden yang sudah tidak menjabat maksudnya adalah Prabowo mengutus Jokowi ke Vatikan. ~MD #Jokowi #Prabowo #Vatikan https://t.co/OImCTL6mtP,neutral
Para utusan khusus Presiden Prabowo Subianto berdoa di depan peti jenazah Paus Fransiskus di Basilika Santo Petrus.⁣ &gt;&gt; https://t.co/jZTwWCdhGd ⁣ #detikcom #Jokowi #UtusanKhususPresidenPrabowo #PausFransiskus #PemakamanPausFransiskus https://t.co/q7dlYQVFZs,neutral
Pesan untuk siapapun tokoh politik pejabat gubernur dll yg ingin berantas premanisme siapkah kalian melawan presiden? GRIB Jaya Tegaskan Prabowo Masih Ketua Dewan Pembina. https://t.co/zx0PiwowRq https://t.co/TETmUUGyOB,neutral
1.500-an Umat Hindu menghadiri Dharma Santi Nasional di Cilangkap Jakarta. Sayang sekali Presiden Prabowo @prabowo tidak hadir. Tapi tidak apa2 mungkin beliau terlalu sibuk atau kami tidak terlalu penting Aku rapopo Tenane aku rapopo. https://t.co/BQsKgFXxJd,neutral
Dari luar sebarisan untuk membela Jokowi dan pemerintah tiba didalam bertolak belakang dia justru membongkar kebusukan 10 thn pemerintahan Jokowi dan lemahnya presiden Prabowo. Allah maha kuasa membolak balik hati manusia. https://t.co/pebJB7585e,negative
ahmad prabowo yanuar ya ini bukan presiden kita ,negative
@PoliticIsBS @MayaA62580468 @prabowo @MayaA62580468 Hi! Hercules (Rosario de Marshall) memang dekat dengan Presiden @prabowo sejak operasi militer di Timor Timur dan dukungan politik sejak 2011 via GRIB Jaya. Hubungan ini mungkin membuatnya berani mengultimatum Gubernur Jawa Barat Dedi Mulyadi pada 23 April 2025 ,neutral
Yuk Move on yuk... Pilpres udah lewat Prabowo-Gibran udah resmi jd Presiden Prabowo tegas gagah berani penyayang n pemaaf pd rakyatnya Emang ada Presiden yg lebih penyayang n pemaaf daripada beliyow ? Keknya gk ada ‼️ Cuma Beliyow yg menyayangi n memaafkan koruptor ️,negative
Purnawirawan yang menyuarakan reshuffle dan ganti wakli Presiden paham hukum ga ? Penjelasan Ketua MPR ini sudah sangat jelas dan MK juga sudah memutuskan Prabowo - Gibran sebagai pemenang Pilpres. Ga capek teriak ya ? https://t.co/pWE0KFHaFB,positive
Caci maki hinaan kritik kebencian kpd Presiden ke 7 Joko Widodo tidak Ia pedulikan ketika mengeluarkan Keppres Nomor 13/TNI/Tahun 2024 tentang Penganugerahan Pangkat Secara Istimewa berupa Jenderal TNI Kehormatan [pangkat jenderal TNI bintang empat kepada Bpk. Prabowo Subianto,neutral
@kompascom Sudah betul Pak MenteriPak Presiden @prabowo harus buat satgas baru untuk menjaga perbatasan laut kita. Nelayan Natuna mengeluh banyak sekali Pair Trawl Vietnam masuk ke Jauh di perairan kita.,negative
Bisa2nya ormas mengancam kepala daerah yg dipilih oleh warganya secara konstitusional. Pemerintahan mcm apa ini pak Presiden @prabowo ? Mohon tertibkan ormas yg sok Jago pengawal Mulyono ini!‍️‍️ https://t.co/sS1LIMqGVX,negative
Pak @prabowo mau sampai kapan dirimu membisu atas keinginan rakyat yang menuntut @jokowi untuk diadili ? Kapan Sih Kami Memiliki Presiden Yang Benar-benar Pro Rakyat Bukan Boneka Oligarki ? https://t.co/HoQHzgSGsd,negative
@CNNIndonesia Pdhal sampean sebagai presiden kan berasal dari tentara toh pak @prabowo ? Harusnya malu dan hal2 begini tidak terjadi dong. Gimana nih Bu @susipudjiastuti ? Ternyata perempuan dan warga sipil lebih berani. @Gerindra,negative
 Sampai skrg Presiden Prabowo tidak pernah mengatakan stop kasus ini. Tapi juga tidak pernah mengatakan terus kasus ini. Padahal dia punya kuasa sebagai pemimpin / kepala negara dia bisa perintahkan itu. Perintahkan Kapolri utk uji forensik // YOUTUBE https://t.co/i2Pzof3Q05 https://t.co/1cHZQYFP6H,neutral
Saya dukung Presiden @prabowo Ini kalau beneran jadi seIndonesia bakal syukuran 70 hari 70 malam.,neutral
Presiden @prabowo mengirim Tokoh Paling Korup di dunia versi OCCRP ketika menjabat beragama non Catholic pula untuk menghadiri acara yang sangat sakral bagi Pemeluk agama Catholic Pemakaman Paus Fransiscus. Acara itu saya bayangkan bukan hanya sebuah Upacara yang sangat,negative
Ini Presiden Indonesia Presiden ke-8 @prabowo Subianto Yang dikata-katain goblok tolol dan sebagainya Tapi faktanya @prabowo adalah pemimpin dunia dengan approval rating tertinggi diantara pemimpin negara G20 per april 2025 FAKTA https://t.co/8AN7jfbIbj,negative
Dengan bangga dunia mengakui kepemimpinan visioner Presiden Republik Indonesia @prabowo. Sosok pemimpin hebat yang mengharumkan nama bangsa di panggung global. 🇮🇩 https://t.co/B0grQFuZQr,positive
Dengan bangga dunia mengakui kepemimpinan visioner Presiden Republik Indonesia Prabowo Subianto. Sosok pemimpin hebat yang mengharumkan nama bangsa di panggung global. 🇮🇩 @prabowo @gibran_tweet #prabowogibran https://t.co/FjqeoRkLrz,neutral
Di Depan Presiden Prabowo Ustaz Adi Hidayat: Tidak Ada Gelap Lagi Kita Akan Bangun Indonesia Terang https://t.co/7ZeLzRtxqG,neutral
Approval Rating Presiden @prabowo sdh tertinggi. Bayangkan 81%. Dukungan Parpol pun 100% digenggam walau tak semua (belum) di koalisi pemerintahan. Karena PDIP pun sdh sejinak merpati. Tinggal dielus2. Herannya kenapa tak jg sahkan RUU Perampasan Aset? Atau Perppu nya. Why? https://t.co/vheQVQQ6bg,negative
Presiden Prabowo Subianto menanggapi pernyataan sikap yang disampaikan Forum Purnawirawan Prajurit TNI. Prabowo disebut menghargai memahami dan akan mempelajari seluruh poin yang disampaikan. Termasuk di dalamnya soal usulan pergantian wakil presiden. https://t.co/kk0iwzxQ9n,neutral
Jika Tidak Bisa Atasi Jokowi Prabowo Hanya Akan Jadi Presiden Badut! https://t.co/guTB8goks3,neutral
 Presiden tidak mencampuri urusan legislatif Tuh DPR yang kudu copot Gibran. Gibran bisa dimakzulkan asalkan @DPR_RI kompak (Bivitri Susanti) Wiranto Ungkap Sikap Prabowo soal Usulan Copot Gibran https://t.co/Mj59V618y6. #IjazahPalsuKuburanJokowi https://t.co/3o4oTq0LiH,neutral
Sbgai apa kapasitas Jokowi dlm pemerintahan Presiden @prabowo . Apkh sdh pernah dilantik &amp; disumpah sbg pejabat negara? Apkh Presiden dibolehkan bebas mengutus siapapun dgn menggunakan biaya dr APBN? Wah bkn mustahil bsk2 bisa mengutus preman dong klo bgini caranya!‍️‍️‍️ https://t.co/H9OtTMsAxb,negative
Presiden Prabowo: Indonesia Jadi Lumbung Pangan Dunia https://t.co/xCrDUfVlir,neutral
@defenceview_id udah saatnya kita pisahin jabatan presiden sbg kepala negara &amp; perdana menteri sbg kepala pemerintahan orang tua kolot yang demen seremoni kek prabowo jokowi ikut pemilu presiden aja perdana menteri diisi yang bisa kerja,negative
Masukan Buat Presiden Prabowo https://t.co/0VLsel9n7k,neutral
Mau tau mengapa Bpk Presiden @prabowo mengutus Bpk Presiden ke 7 Indonesia @jokowi untuk menghadiri pemakaman Paus Fransiskus? Jawabannya simple dan bikin banyak orang mungkin tidak bisa menerima kenyataan ini. Jokowi masih sangat relevan dalam dunia politik Indonesia inilah https://t.co/kGrCzmKXm4,positive
Apa urgensinya anda kirim Jokowi menghadiri pemakaman Paus Fransiskus di Vatikan . @prabowo Anda punya wakil presiden kenapa anda tidak tugaskan dia ke sana. Makan gaji buta doang itu wakil?? Serius tanya,negative
Tayangnya jam 5 durasinya 3 jam. Berarti: 1. 5 - 3 = 2 Prabowo-Gibran 02 2. 5 + 3 = 8 Presiden RI ke-8 Kode tentara beliau 08 INILAH MATAHARI KITA SESUNGGUHNYARGHH!!!!!11!!!1!!!,neutral
. . Saking ga mau kalahnya Segala cara dilakukan Mul .. Mull .. Makin Tuwek Makin Jadi Mul Btw Pa Bozz @prabowo .. Ngutus Jokowi itu dlm kapasitasnya sebagai apa ? Mantan Presiden ngapain jadi utusan ? Kalau ada Event lain apa Mantan Presiden lain akan jadi utusan juga ?!! . . https://t.co/rKuBuMBLgS,negative
Selama Prabowo yg jadi presiden. Selama Listyo Sigit yg jadi Kapolri. Jangan harap laporan masyarakat atas dugaan ijazah palsu Jokowi akan ditanggapi kepolisian. Inti dari polemik ini adalah Mulyono ingin menunjukkan bahwa penguasa sebenarnya adalah beliau. https://t.co/DwQC9i4hca,neutral
Viral! Siswa SD minta Presiden Prabowo untuk memperbaiki jalan.. Jalan serusak ini Pemdanya nggak turun??? https://t.co/clmJSuqSIh,neutral
Klarifikasi dari ke 3 kontingen Aceh Maluku dan Papua di PBB . Sebagai perwakilan masyarakat adat mereka angkat issue tentang Keadilan Marginalisasi dan Hak Asasi Manusia. Sebagai notice untuk pemerintah pusat di bawah Kepemimpinan Presiden @prabowo . Cukup sudah masyarakat https://t.co/b8OBsAqIWy,neutral
Setuju dan sangat betul Pak Presiden @prabowo Peraturan yg simple direct tidak bias law enforcement yg benar emphaty dan caring dari Regulator to all people. Memastikan semua warganegara dapat perlakuan yg sama; Bila hal2 diatas Pak Presiden enforce dan kampanyekan https://t.co/HQn2Srwxtl,positive
Kereen bnget sm Presiden gue bpk @prabowo Di saat gerombolan keok pilpres trs bikin narasi matahari kembar utk adu domba pa @prabowo dgn pa @jokowi Pak @prabowo utus pak @jokowi menghadiri pemakaman Paus Fransiskus mewakili beliau @ganjarpranowo pun kicep https://t.co/tkmEvsnIVj,neutral
Dievaluasi pak @prabowo jgn malah sibuk nyinyirin yg kritik MBG. Bapak itu presiden bkn ceboker buktikan MBG itu makan bergizi gratis bkn makan beracun gratis!!! Puan Desak Program MBG Dievaluasi Imbas Puluhan Siswa Keracunan di Cianjur. https://t.co/8SFunRoFY7,negative
@tempodotco Bapak @prabowo anda sudah jadi presiden tolong statementnya jangan berharap terus. Anda punya kewenangan anda bisa bikin kebijakan pro rakyat anda bisa langsung action bukan mimpi terus. Arrgggh benci bat guee,negative
Presiden Prabowo Ungkap Banyak Negara Lain yang Ingin Pelajari MBG di Indonesia https://t.co/tFLlrHtRho,neutral
Korupsi adalah perintah jabatan. Jika tak mau korupsi maka posisinya di gantikan yg lain. Itulah yg terjadi di era Jokowi. Apakah presiden @prabowo @Gerindra kala menjadi Menhan kena jebakan Betmen Jokowi ?? Jika tidak maka saat menjabat presiden hukum pasti ditegakan️ https://t.co/JlRMznR0rB,negative
@TirtoID bapak @prabowo ngerti gak sih jadi presiden itu ngapain? atau cuma cita cita tanpa paham apa2? cuma ambisi?,negative
GSN adalah yayasan yang didirikan oleh Presiden Prabowo Subianto. Prabowo bahkan duduk sebagai ketua pembina. Keluarga dan orang-orang dekatnya juga mengisi jajaran pengurus. https://t.co/KRHFnAYH5v,neutral
Walah ORMAS kok dipelihara negara? Makanya tidak heran di negara ini ormas merajalela berbuat apapun...karena negara juga memberikan ruang...dan bahkan memelihara. Presiden Prabowo Subianto #IndonesiaGelap https://t.co/4zuU30ZShr,negative
AKANKAH INI TANDA TANDA #IndonesiaMusnah BILA SAMPAH POLITIK TIDAK DIBUANG PADA TEMPATX MAKA BISA JADI #IndonesiaMusnah MAKA PRESIDEN PRABOWO HARUS TEGAS MENYINGKIRKAN SERTA #AdiliJokowiGantiWapres POLRI PADA RAKYAT SAJA SUDAH BERKHIANAT BISA DGN MUDAH BERKHIANAT PD AKHIRNYA https://t.co/qbD3Ghj2Q3,negative
Presiden Prabowo Subianto mengutus Presiden ke-7 RI Jokowi untuk menghadiri pemakaman Paus Fransiskus di Vatikan. Selain Jokowi Prabowo mengutus Menteri Hak Asasi Manusia Natalius Pigai Wamenkeu Thomas Djiwandono dan mantan Menteri ESDM Ignasius Jonan. #TempoHeadliner https://t.co/QHs5K0uqnR,neutral
Teror terhadap penolak revisi Undang-Undang TNI terus terjadi. Sejumlah aktivis mendapatkan intimidasi dan peretasan. Presiden Prabowo Subianto perlu membuka mata terhadap demonstrasi yang muncul secara organik. #tempodotco #tempo #teror #penolak #revisi #UUTNI https://t.co/fHcQCxtpbO,neutral
Prabowo Utus Presiden Jokowi Hadiri Pemakaman Paus Fransiskus Negara Dagelan https://t.co/aGILDzNl1s,neutral
@ARSIPAJA @prabowo anda buat bangsa ini benar-benar ga ada wibawa. Meski Jokowi pernah jd presiden tp skrg sdh rakyat biasa. Tidak bisa dan tidak tepat anda utus mewakili negara. Hanya krna hutang budi politik trhdp Jokowi anda injak harga diri dan wibawa bangsa ini.,negative
Duh piye iki piye ...tetangga kepanasan ini mah ....trimakasih Presiden @prabowo ... Hello @msaid_didu dkk https://t.co/9xz2LnnBUk,negative
Prabowo Presiden Utus Jokowi ke Pemakaman Paus Fransiskus https://t.co/FG15BfNAI3,neutral
Pertama kali mengunjungi Kantor OIKN di IKN. Dulu ikut peletakan batunya bersama Pak Bas dan Presiden Ke-7 Jokowi. Alhamdulillah pembangunan IKN terus berjalan dengan baik. Komitmen Pak Prabowo meneruskan pembangunan IKN sangat luar biasa. Penyelesaian bangunan Sumbu Praja https://t.co/24vA4ZA3KW,positive
