full_text,text_processed,text_processed1,label,score,panjang
@NenkMonica Mending fokus awasi kinerja Pemerintah Terutama janji janji politik @prabowo Jangan biarkan umbar janji kemudian seenaknya diabaikan,mending fokus awas kerja perintah janji janji politik prabowo biar umbar janji abai,nenkmonica mending fokus awasi kinerja pemerintah terutama janji janji politik prabowo jangan biarkan umbar janji kemudian seenaknya diabaikan,positive,0.9850612282752992,13
@BANGSAygSUJUD @prabowo @tham878 @romoatheist @kiwalipitu @Kimberley_PS08 @hasanudinsajid @gtobing2903 @FDonghun @EdySularno96489 @awikuchuz Kinerja pemerintahan Prabowo Gibran semakin nyata Indonesiaku 🇮🇩,prabowo kerja perintah prabowo gibran nyata indonesia,bangsaygsujud prabowo tham romoatheist kiwalipitu kimberley ps hasanudinsajid gtobing fdonghun edysularno awikuchuz kinerja pemerintahan prabowo gibran semakin nyata indonesiaku,negative,0.9987547397613524,7
@imvibbyy @benasyid @kompascom @aniesbaswedan Dan prediksi saya jika Pak Prabowo berhasil 2 periode maka penggantinya adalah KDM (dengan syarat KDM ngak blunder parah). Maka sirnalah peluang bapak @aniesbaswedan untuk memenangkan pilpres kedepannya. Bahkan sebagian pendukung bapak sekarang banyak yg menyukai kinerja KDM.,prediksi prabowo hasil periode ganti kdm syarat kdm ngak blunder parah sirna peluang menang pilpres depan dukung suka kerja kdm,imvibbyy benasyid kompascom aniesbaswedan dan prediksi saya jika pak prabowo berhasil periode maka penggantinya adalah kdm dengan syarat kdm ngak blunder parah maka sirnalah peluang bapak aniesbaswedan untuk memenangkan pilpres kedepannya bahkan sebagian pendukung bapak sekarang banyak yang menyukai kinerja kdm,negative,0.9303867816925048,20
@Gojekmilitan @DediMulyadi71 @prabowo @prabowo maaf pak ini sepertinya ganggu kinerja KDM dan warga jabar yg sedang semangat melihat jabar di benahi,prabowo prabowo maaf ganggu kerja kdm warga jabar semangat jabar benah,gojekmilitan dedimulyadi prabowo prabowo maaf pak ini sepertinya ganggu kinerja kdm dan warga jabar yang sedang semangat melihat jabar di benahi,negative,0.9540669322013856,11
@arianadyani @tempodotco Ketegasan Prabowo akan mendongkrak kinerja BUMN.,tegas prabowo dongkrak kerja bumn,arianadyani tempodotco ketegasan prabowo akan mendongkrak kinerja bumn,negative,0.9940547347068788,5
Sejarahbaru diEra Presiden @prabowo WaPres mnjdi posisi BERKELAS &amp; perbincangan SEXY pdhl cuma BAN SEREP andai saja 16:24% tau betapa kami berdua (DwiTunggal) menghidangkan cawan² cinta meski tanpa jari jemari . ^survei Citra+ 79 9% kinerja 79 8% mati lu ~goodnight️~ https://t.co/YW53DKfLBX,sejarahbaru era presiden prabowo wapres mnjdi posisi kelas bincang sexy pdhl ban serep andai tau betapa dua dwitunggal hidang cawan cinta jari jemari survei citra kerja mati goodnight,sejarahbaru diera presiden prabowo wapres mnjdi posisi berkelas perbincangan sexy pdhl cuma ban serep andai saja tau betapa kami berdua dwitunggal menghidangkan cawan cinta meski tanpa jari jemari survei citra kinerja mati lu goodnight,positive,0.977783501148224,28
Bagaimana menurut Netizen X-Twitter? Apakah kinerja Wapresnya Prabowo sudah cukup memuaskan? Survei : 79 8% Puas dengan Kinerja Wapres Gibran https://t.co/oAXoMffgro,netizen twitter kerja wapresnya prabowo muas survei puas kerja wapres gibran,bagaimana menurut netizen twitter apakah kinerja wapresnya prabowo sudah cukup memuaskan survei puas dengan kinerja wapres gibran,neutral,0.9525600671768188,11
Di AS hasil survey hanya 37% rakyatnya puas terhadap kinerja pemerintahan Donald Trump di 100 hari masa kerjanya sementara di Indonesia katanya 73 % rakyatnya puas dgn kinerja pemerintahan Prabowo-Gibran di 100 hari pertama masa kerjanya...entahlah...!,hasil survey rakyat puas kerja perintah donald trump kerja indonesia rakyat puas kerja perintah prabowo gibran kerja,di as hasil survey hanya rakyatnya puas terhadap kinerja pemerintahan donald trump di hari masa kerjanya sementara di indonesia katanya rakyatnya puas dengan kinerja pemerintahan prabowo gibran di hari pertama masa kerjanya entahlah,neutral,0.9540589451789856,17
@FradaRandi1 Kinerja Presiden Prabowo bikin masyarakat percaya masalah bisa dituntaskan dengan cara-cara positif,kerja presiden prabowo bikin masyarakat percaya tuntas positif,fradarandi kinerja presiden prabowo bikin masyarakat percaya masalah bisa dituntaskan dengan cara cara positif,neutral,0.9225747585296632,8
@BebySoSweet Yang positif si teddy kali ah positif hamil kinerja si prabowo minus semua anjjjjjj,positif teddy kali positif hamil kerja prabowo minus anjjjjjj,bebysosweet yang positif si teddy kali ah positif hamil kinerja si prabowo minus semua anjjjjjj,neutral,0.9883102178573608,9
Prabowo Minta Kinerja Direksi BUMN Divaluasi: Gak Bener Ganti! https://t.co/VkeNpE2A3a,prabowo kerja direksi bumn divaluasi bener ganti,prabowo minta kinerja direksi bumn divaluasi tidak bener ganti,positive,0.9347519278526306,7
Survei Rumah Politik: Mayoritas Publik Puas dengan Kinerja Gibran di Semester Pertama Pemerintahan Prabowo-Gibran https://t.co/og8mLgRbEE,survei rumah politik mayoritas publik puas kerja gibran semester perintah prabowo gibran,survei rumah politik mayoritas publik puas dengan kinerja gibran di semester pertama pemerintahan prabowo gibran,neutral,0.9894170165061952,12
Kinerja BUMN Jadi Sorotan Muzani-Dasco Saat Bertemu Prabowo di Istana https://t.co/iVM0xwq8G0,kerja bumn sorot muzani dasco temu prabowo istana,kinerja bumn jadi sorotan muzani dasco saat bertemu prabowo di istana,negative,0.982981503009796,8
Belakangan gw perhatikan kader2 partai pendukung gk terlalu agresif bela Prabowo Mrk lbh bnyk beritakan kinerja menteri2 asal partainya Ini keren Jgn terlalu militan wong akun partainya Prabowo cm posting2 makanan aja kok,perhati kader partai dukung agresif bela prabowo mrk lbh bnyk berita kerja menteri partai keren jgn militan akun partai prabowo posting makan,belakangan gw perhatikan kader partai pendukung gk terlalu agresif bela prabowo mrk lbh bnyk beritakan kinerja menteri asal partainya ini keren jgn terlalu militan wong akun partainya prabowo cm posting makanan aja kok,neutral,0.9617472887039183,22
Presiden Prabowo tegaskan untuk mengganti direksi BUMN yang tidak efisien. Hal ini merupakan komitmen pemerintah untuk memperbaiki kinerja BUMN demi kemajuan ekonomi Indonesia https://t.co/4zm4IS4KR9,presiden prabowo tegas ganti direksi bumn efisien komitmen perintah baik kerja bumn maju ekonomi indonesia,presiden prabowo tegaskan untuk mengganti direksi bumn yang tidak efisien hal ini merupakan komitmen pemerintah untuk memperbaiki kinerja bumn demi kemajuan ekonomi indonesia,positive,0.9487751722335817,15
Saat menghadiri Townhall Meeting Danantara bersama BUMN pada Senin (28/4) Presiden Prabowo Subianto memerintahkan manajemen BUMN dan Danantara untuk mengevaluasi kinerja jaja ran direksi. Prabowo juga meninta jajaran direksi diisi dengan orang-orang yang profesional bukan https://t.co/Tl9yRJHnUE,hadir townhall meeting danantara bumn senin presiden prabowo subianto perintah manajemen bumn danantara evaluasi kerja jaja ran direksi prabowo tinta jajar direksi isi orang orang profesional,saat menghadiri townhall meeting danantara bersama bumn pada senin presiden prabowo subianto memerintahkan manajemen bumn dan danantara untuk mengevaluasi kinerja jaja ran direksi prabowo juga meninta jajaran direksi diisi dengan orang orang yang profesional bukan,positive,0.9961651563644408,26
bravo Pak Prabowo! Dengan evaluasi rutin BUMN bs wujudkan kinerja yg bersih dan profesional. Luar biasa https://t.co/2KVMlR4ljX,bravo prabowo evaluasi rutin bumn wujud kerja bersih profesional,bravo pak prabowo dengan evaluasi rutin bumn bs wujudkan kinerja yang bersih dan profesional luar biasa,negative,0.9709299802780152,9
setuju bgt Pak Prabowo! Pemimpin yg tegas dan transparan sangat dibutuhkan di BUMN. Evaluasi berkala bakal bikin kinerja makin optimal https://t.co/vJlOGIYpcY,tuju bgt prabowo pimpin transparan butuh bumn evaluasi kala bikin kerja optimal,setuju bgt pak prabowo pemimpin yang tegas dan transparan sangat dibutuhkan di bumn evaluasi berkala bakal bikin kinerja makin optimal,positive,0.955603837966919,12
kebijakan tepat pak Prabowo! Semoga hasil evaluasi membuahkan kinerja optimal https://t.co/v9L2jJXPeR,bijak prabowo moga hasil evaluasi buah kerja optimal,kebijakan tepat pak prabowo semoga hasil evaluasi membuahkan kinerja optimal,negative,0.981115460395813,8
dengan evaluasi ini kinerja BUMN bakal makin joss! Semangat Pak Prabowo https://t.co/DyLfWyTZXf,evaluasi kerja bumn joss semangat prabowo,dengan evaluasi ini kinerja bumn bakal makin joss semangat pak prabowo,negative,0.9501405954360962,6
Akhirnya kita saling melengkapi Kinerja pemerintahan Prabowo Gibran sudah menampakkan hasil ketahanan pangan akan segera terwujud melalui swasembada beras SKYNANI MIRINDA PRESENTERS,lengkap kerja perintah prabowo gibran tampak hasil tahan pangan wujud swasembada beras skynani mirinda presenters,akhirnya kita saling melengkapi kinerja pemerintahan prabowo gibran sudah menampakkan hasil ketahanan pangan akan segera terwujud melalui swasembada beras skynani mirinda presenters,neutral,0.9976804256439208,15
Presiden Prabowo Subianto memerintahkan manajemen BUMN dan Danantara untuk mengevaluasi kinerja jajaran direksi. Presiden Prabowo tidak ingin ada direksi yang menyalahgunakan kewenangan dan meminta jajaran direksi diisi orang-orang profesional. #presidenprabowo #prabowo https://t.co/ErjE9fhslB,presiden prabowo subianto perintah manajemen bumn danantara evaluasi kerja jajar direksi presiden prabowo direksi menyalahgunakan wenang jajar direksi isi orang orang profesional presidenprabowo prabowo,presiden prabowo subianto memerintahkan manajemen bumn dan danantara untuk mengevaluasi kinerja jajaran direksi presiden prabowo tidak ingin ada direksi yang menyalahgunakan kewenangan dan meminta jajaran direksi diisi orang orang profesional presidenprabowo prabowo,positive,0.9827961325645448,24
Presiden Prabowo meminta seluruh jajaran direksi BUMN untuk meninggalkan praktik-praktik lama yang tidak efisien maupun yang menyimpang. Ia menegaskan bahwa evaluasi kinerja direksi harus dilakukan secara menyeluruh termasuk penilaian terhadap integritas dan profesionalisme.,presiden prabowo jajar direksi bumn tinggal praktik praktik efisien simpang evaluasi kerja direksi nilai integritas profesionalisme,presiden prabowo meminta seluruh jajaran direksi bumn untuk meninggalkan praktik praktik lama yang tidak efisien maupun yang menyimpang ia menegaskan bahwa evaluasi kinerja direksi harus dilakukan secara menyeluruh termasuk penilaian terhadap integritas dan profesionalisme,positive,0.9432063102722168,16
844 BUMN Bergabung dengan Danantara Prabowo Minta Kinerja Hingga Akhlak Jajaran Direksi Dievaluasi #TribunKaltim #Danantara #Prabowo #BUMN https://t.co/t8vT4LhZpn lewat @tribunnews,bumn gabung danantara prabowo kerja akhlak jajar direksi evaluasi tribunkaltim danantara prabowo bumn,bumn bergabung dengan danantara prabowo minta kinerja hingga akhlak jajaran direksi dievaluasi tribunkaltim danantara prabowo bumn lewat tribunnews,positive,0.9301130771636964,13
Enam bulan memimpin Presiden Prabowo mendapat penilaian positif! Survei IDSight: 74 6% masyarakat puas dengan kinerja beliau. Stabilitas terjaga pembangunan dipercepat rakyat makin dekat. Optimisme tumbuh Indonesia makin maju! 🇮🇩 #Prabowo #IndonesiaMaju https://t.co/k1GkfSPcWB,enam pimpin presiden prabowo nilai positif survei idsight masyarakat puas kerja beliau stabilitas jaga bangun cepat rakyat optimisme tumbuh indonesia maju prabowo indonesiamaju,enam bulan memimpin presiden prabowo mendapat penilaian positif survei idsight masyarakat puas dengan kinerja beliau stabilitas terjaga pembangunan dipercepat rakyat makin dekat optimisme tumbuh indonesia makin maju prabowo indonesiamaju,neutral,0.9445402026176452,23
@Ndons_Back @prabowo @are_inismyname @florieliciouss @BANGSAygSUJUD @99propaganda @Kimberley_PS08 @IrawanRommi @DarekaRendy @coldbrew165 @gtobing2903 @BPOM_RI @HaloBPOM1500533 @BPOMRI Kinerja BPOm terlalu santai,prabowo kerja bpom santai,ndons back prabowo are inismyname florieliciouss bangsaygsujud propaganda kimberley ps irawanrommi darekarendy coldbrew gtobing bpom ri halobpom bpomri kinerja bpom terlalu santai,negative,0.918014407157898,4
Selamat pagi Sahabat Kompas. Manajemen Danantara akan mengevaluasi kinerja direksi BUMN. Pada saat yang sama Presiden Prabowo menekankan pentingnya integritas dan profesionalisme dalam pengelolaan Danantara. Baca selengkapnya di sini https://t.co/CeL5Knitwr #Ekonomi https://t.co/P9WQzTygql,selamat pagi sahabat kompas manajemen danantara evaluasi kerja direksi bumn presiden prabowo tekan integritas profesionalisme kelola danantara baca lengkap ekonomi,selamat pagi sahabat kompas manajemen danantara akan mengevaluasi kinerja direksi bumn pada saat yang sama presiden prabowo menekankan pentingnya integritas dan profesionalisme dalam pengelolaan danantara baca selengkapnya di sini ekonomi,positive,0.9312729835510254,20
@prabowo @KemenkeuRI minta bantu audit kinerja Bapenda @DKIJakarta krn SPPT PBB P-2 DKI kami (L;156m) area Kel.Lebak Bulus semula 0 dalam 2 tahun ini naik tdk masuk akal 1 2 jt-1 8jt mohon tindakan anehnya Bapenda minta data untuk check (admnya buruk) @KPK_RI @OmbudsmanRI137,prabowo bantu audit kerja bapenda krn sppt pbb dki area kel lebak bulus tdk masuk akal mohon tindak aneh bapenda data check admnya buruk,prabowo kemenkeuri minta bantu audit kinerja bapenda dkijakarta krn sppt pbb dki kami area kel lebak bulus semula dalam tahun ini naik tidak masuk akal jt jt mohon tindakan anehnya bapenda minta data untuk check admnya buruk kpk ri ombudsmanri,neutral,0.9491713047027588,24
Akhlak .. Kompetensi .. Capaian Kinerja .. Prestasi Tidak memiliki 4 hal tersebut maka harus segera di evaluasi Setuju Pak Presiden @prabowo #akhlak #kompetensi #kinerja #prestasi,akhlak kompetensi capai kerja prestasi milik evaluasi tuju presiden prabowo akhlak kompetensi kerja prestasi,akhlak kompetensi capaian kinerja prestasi tidak memiliki hal tersebut maka harus segera di evaluasi setuju pak presiden prabowo akhlak kompetensi kinerja prestasi,neutral,0.9232724905014038,14
@prabowo mau berapa banyak lagi peraturan yang dilanggar? kritik masyarakat tidak pernah didengar semakin hari semakin buruk kinerja pemerintahan elu. Indonesia punya ±280jt penduduk JANGAN SEENAKNYA MENGHANCURKAN NEGARA INI!!!,prabowo atur langgar kritik masyarakat dengar buruk kerja perintah elu indonesia duduk hancur negara,prabowo mau berapa banyak lagi peraturan yang dilanggar kritik masyarakat tidak pernah didengar semakin hari semakin buruk kinerja pemerintahan elu indonesia punya jt penduduk jangan seenaknya menghancurkan negara ini,neutral,0.9977988600730896,14
@BebySoSweet Mestinya kinerja Prabowo aja tanpa Blimbing Wuluh (Fufu-Fafa),mesti kerja prabowo blimbing wuluh fufu fafa,bebysosweet mestinya kinerja prabowo aja tanpa blimbing wuluh fufu fafa,neutral,0.9939775466918944,7
@kompascom Pak Prabowo Sebaiknya bpk EVALUASI KABINET yg bp Presiden bentuk. Bagaimana KINERJA Menteri2 tsb apa sudah bener ? Intropeksi Kinerja bpk setelah itu baru KOREKSI BUMN,prabowo bpk evaluasi kabinet presiden bentuk kerja menteri tsb bener intropeksi kerja bpk koreksi bumn,kompascom pak prabowo sebaiknya bpk evaluasi kabinet yang bp presiden bentuk bagaimana kinerja menteri tsb apa sudah bener intropeksi kinerja bpk setelah itu baru koreksi bumn,neutral,0.954598307609558,15
@pena_kantor @jackjackparrr bener banget bg selama ini kita liat nya selalu bagus dan memuaskan masyarakat jabar ya itu hasil yang positif bgt. cuman yang gua jengkel nya itu pengikut kdm fanatik banget nge bandingin sm kinerja nya prabowo yang proker nya beda dan di jalur yang beda.,bener banget liat bagus muas masyarakat jabar hasil positif bgt cuman gua jengkel ikut kdm fanatik banget nge bandingin kerja prabowo proker beda jalur beda,pena kantor jackjackparrr bener banget bg selama ini kita liat nya selalu bagus dan memuaskan masyarakat jabar ya itu hasil yang positif bgt cuman yang gua jengkel nya itu pengikut kdm fanatik banget nge bandingin sm kinerja nya prabowo yang proker nya beda dan di jalur yang beda,negative,0.9931301474571228,25
Presiden Prabowo Perintahkan Manajemen BUMN dan Danantara Evaluasi Kinerja Direksi https://t.co/ZiCs3Spcy2,presiden prabowo perintah manajemen bumn danantara evaluasi kerja direksi,presiden prabowo perintahkan manajemen bumn dan danantara evaluasi kinerja direksi,positive,0.9062859416007996,9
@grok coba kumpulin semua data dari media online berita nasional X apapun itu tentang kinerja 100 hari pasca Prabowo menjabat sebagai presiden. Terus buatkan presentase seberapa puas/tidak puas masyarakat terhadap kepemimpinan prabowo saat ini!,coba kumpulin data media online berita nasional apa kerja pasca prabowo jabat presiden buat presentase puas puas masyarakat pimpin prabowo,grok coba kumpulin semua data dari media online berita nasional apapun itu tentang kinerja hari pasca prabowo menjabat sebagai presiden terus buatkan presentase seberapa puas tidak puas masyarakat terhadap kepemimpinan prabowo saat ini,neutral,0.9826813340187072,20
Presiden RI Prabowo Subianto menugaskan jajaran manajemen BUMN untuk mengevaluasi direksi-direksinya. Poin yang dievaluasi minta Prabowo adalah kinerja watak akhlak dan prestasi. https://t.co/7l77raBBNC,presiden prabowo subianto tugas jajar manajemen bumn evaluasi direksi direksi poin evaluasi prabowo kerja watak akhlak prestasi,presiden ri prabowo subianto menugaskan jajaran manajemen bumn untuk mengevaluasi direksi direksinya poin yang dievaluasi minta prabowo adalah kinerja watak akhlak dan prestasi,positive,0.9733649492263794,17
@Agungsyaputraa @ARSIPAJA @ARSIPAJA Approval rating Prabowo (80.9%) berdasarkan survei Kompas Januari 2025 mengukur kepuasan publik terhadap kinerja kemungkinan meliputi ekonomi dan kesejahteraan sosial meski indikator spesifik kurang jelas. Rating ini menunjukkan dukungan publik yang kuat tapi bukan,approval rating prabowo dasar survei kompas januari ukur puas publik kerja liput ekonomi sejahtera sosial indikator spesifik rating dukung publik kuat,agungsyaputraa arsipaja arsipaja approval rating prabowo berdasarkan survei kompas januari mengukur kepuasan publik terhadap kinerja kemungkinan meliputi ekonomi dan kesejahteraan sosial meski indikator spesifik kurang jelas rating ini menunjukkan dukungan publik yang kuat tapi bukan,neutral,0.9828310012817384,21
@prabowo Bacot ngentot ya ini hate speech atas kinerja Lu Yang omong kosong Lu orang mau sebut gw anak abah musuh rezim antek asing gw kaga peduli. Look at you dirty bastard penjahat HAM Yang bahkan ga bisa mempertanggungjawabkan perbuatan lu. #IDIOTBASTARD,prabowo bacot ngentot hate speech kerja omong kosong orang anak abah musuh rezim antek asing kaga peduli look you dirty bastard jahat ham mempertanggungjawabkan buat idiotbastard,prabowo bacot ngentot ya ini hate speech atas kinerja lu yang omong kosong lu orang mau sebut gw anak abah musuh rezim antek asing gw kaga peduli look at you dirty bastard penjahat ham yang bahkan tidak bisa mempertanggungjawabkan perbuatan lu idiotbastard,negative,0.9907070398330688,26
kinerja dan pelayanannya kategori A bisa lah pak @prabowo di approve tukin kemenag 80% https://t.co/iFn26lV7OY,kerja layan kategori prabowo approve tukin kemenag,kinerja dan pelayanannya kategori bisa lah pak prabowo di approve tukin kemenag,neutral,0.989374339580536,7
@budibukanintel_ @bang_dasco Dih wajar dong gua nuntut kinerja prabowo lah gua pendukung dan pemilih nya lah lu siapa tong menilai gua kaya gitu kocak lu,dih wajar gua nuntut kerja prabowo gua dukung pilih tong nilai gua kaya kocak,budibukanintel bang dasco dih wajar dong gua nuntut kinerja prabowo lah gua pendukung dan pemilih nya lah lu siapa tong menilai gua kaya gitu kocak lu,neutral,0.995438039302826,14
Dukungan rakyat untuk Presiden Prabowo Danantara terus menguat! Dalam enam bulan pertama masa kepemimpinannya kinerja Presiden Prabowo mendapatkan penilaian positif sebesar 74 6% berdasarkan riset independen dari Indonesia Social Insight .#DukunganRakyat #PrabowoDanantara https://t.co/gRrHtuosVW,dukung rakyat presiden prabowo danantara kuat enam pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight dukunganrakyat prabowodanantara,dukungan rakyat untuk presiden prabowo danantara terus menguat dalam enam bulan pertama masa kepemimpinannya kinerja presiden prabowo mendapatkan penilaian positif sebesar berdasarkan riset independen dari indonesia social insight dukunganrakyat prabowodanantara,negative,0.9028480648994446,21
Itu kira2 analoginya mas @rendi078. Jadi selama kinerja Presiden @prabowo bersambung dg harapan rakyat maka survei AR akan menemukan kepuasaan yg tinggi atas kinerja Presiden. Nah kata kuncinya kinerja dan harapan. Itu yg harus disambungkan Pemerintah. Bukan sibuk urus elit.,analogi mas kerja presiden prabowo sambung harap rakyat survei temu puasa kerja presiden kunci kerja harap sambung perintah sibuk urus elit,itu kira analoginya mas rendi jadi selama kinerja presiden prabowo bersambung dg harapan rakyat maka survei ar akan menemukan kepuasaan yang tinggi atas kinerja presiden nah kata kuncinya kinerja dan harapan itu yang harus disambungkan pemerintah bukan sibuk urus elit,neutral,0.920683205127716,21
@AdhieMassardi Kl sy @gibran_tweet sy akan mundur dg kepala tegak. Sy ga membully beliau tp utk urusan bangsa dan negara yg sedang carut marut begini peran aktif dan inovatif seorang wapres sangat dibutuhkan utk mendukung kinerja presiden @prabowo,mundur kepala tegak membully beliau urus bangsa negara carut marut peran aktif inovatif wapres butuh dukung kerja presiden prabowo,adhiemassardi kl sy gibran tweet sy akan mundur dg kepala tegak sy tidak membully beliau tp untuk urusan bangsa dan negara yang sedang carut marut begini peran aktif dan inovatif seorang wapres sangat dibutuhkan untuk mendukung kinerja presiden prabowo,neutral,0.9362874031066896,19
Segeralah ? @mprgoid @DPR_RI diagendakan .. mengingat politik yg lg riuh gempita dan mengingat kinerja pak presiden @prabowo semakin tak konsen serta mengusulkan @puanmaharani_ri @AgusYudhoyono utk itu .. apakah dan bagaimanakah ??@Gerindra @PDI_Perjuangan @PDemokrat,segera agenda politik riuh gempita kerja presiden prabowo konsen usul,segeralah mprgoid dpr ri diagendakan mengingat politik yang lg riuh gempita dan mengingat kinerja pak presiden prabowo semakin tak konsen serta mengusulkan puanmaharani ri agusyudhoyono untuk itu apakah dan bagaimanakah gerindra pdi perjuangan pdemokrat,negative,0.9925103187561036,10
Prabowo Capai Kinerja 74 6% dalam 6 Bulan: Fokus pada Komunikasi dan Isu Ekonomi - https://t.co/Q42WQrJBph,prabowo capai kerja fokus komunikasi isu ekonomi,prabowo capai kinerja dalam bulan fokus pada komunikasi dan isu ekonomi,negative,0.9986622333526612,7
NOTE Duet Terbaik Kinerja Positif Pemerintahan #Prabowo_Gibran Tentu Ini Melampaui Kinerja Presiden Sebelumnya,note duet baik kerja positif perintah prabowo gibran lampau kerja presiden,note duet terbaik kinerja positif pemerintahan prabowo gibran tentu ini melampaui kinerja presiden sebelumnya,neutral,0.9923805594444276,11
Aku punya usul @prabowo @Gerindra punya aplikasi buat menilai kinerja para menteri..aplikasi ini bisa didownload semua rakyat Indonesia dan rakyat yang kasi penilaian terhadap kinerja semua menteri (Harus pakai KTP asli saat kasi penilaian) One vote one KTP.,usul prabowo aplikasi nilai kerja menteri aplikasi didownload rakyat indonesia rakyat kasi nilai kerja menteri pakai ktp asli kasi nilai one vote one ktp,aku punya usul prabowo gerindra punya aplikasi buat menilai kinerja para menteri aplikasi ini bisa didownload semua rakyat indonesia dan rakyat yang kasi penilaian terhadap kinerja semua menteri harus pakai ktp asli saat kasi penilaian one vote one ktp,neutral,0.9450917840003968,24
@CakKhum Kalau soal pidato Bapak Prabowo dapat nilai 100 tapi kalau soal kinerja dan prestasi? Cuma omon-omon.,pidato prabowo nilai kerja prestasi omon omon,cakkhum kalau soal pidato bapak prabowo dapat nilai tapi kalau soal kinerja dan prestasi cuma omon omon,neutral,0.9690678715705872,7
