Topic,Count,Name,Representation,Representative_Docs
24,23,24_masyarakat puas kerja_kerja kerja prabowo_puas kerja kerja_masyarakat puas,"['masyarakat puas kerja', 'kerja kerja prabowo', 'puas kerja kerja', 'masyarakat puas', 'kerja kerja', 'puas kerja', 'puas', 'masyarakat', 'prabowo persen masyarakat', 'prabowo persen']","['persen masyarakat puas kerja kerja prabowo', 'persen masyarakat puas kerja kerja prabowo', 'persen masyarakat puas kerja kerja prabowo']"
25,21,25_kerja hasil nyata_kerja hasil_hasil nyata kerja_hasil nyata,"['kerja hasil nyata', 'kerja hasil', 'hasil nyata kerja', 'hasil nyata', 'menteri kerja keras', 'kerja keras', 'visi prabowo bikin', 'visi prabowo', 'nyata kerja bagus', 'keras']","['bestie visi prabowo bikin masyarakat senang menteri menteri kerja keras deliver kerja hasil nyata kerja bagus kabinet', 'sob visi prabowo bikin masyarakat senang menteri kerja keras antar kerja hasil nyata kerja bagus kabinet', 'guys visi prabowo bikin masyarakat senang menteri menteri kerja keras antar kerja hasil nyata kerja bagus kabinet']"
26,21,26_alm_survenya_ato_bliau,"['alm', 'survenya', 'ato', 'bliau', 'bnyk', 'orang', 'beliau', 'sampe', 'periode', 'koruptor']","['hri kerja prabowo survenya lejit bestinya sprtinya lembaga survenya konsisten bgt angka bos survenya menu hidanganya jga tambah nilai mudah cari tukang surve sprti republik omon omon', 'dukung pragib ken damai anak abah udh idul fitri idul fitri kemarin jir debat mulu udh woi jngn debat mulu cape ngarepin tinggal nikmatin kerja prabowo', 'prabowo mgkn tsbt adlh statement blunder trberat bliau orang dengar pkerjaan bliau slama msh sgt bgmn gebrakn bliau mnabrak dinding tebal bgmn prcepat pmerataan fasilitas ksehatan orang tmbok akn marah tmboknya drusak']"
27,20,27_indikator politik indonesia_politik indonesia_indikator politik_indikator,"['indikator politik indonesia', 'politik indonesia', 'indikator politik', 'indikator', 'politik', 'puas', 'presiden prabowo subianto', 'subianto', 'prabowo subianto', 'kerja presiden']","['survei indikator politik indonesia responden puas kerja presiden prabowo subianto puas', 'indikator politik indonesia survei kait puas publik kerja presiden prabowo subianto hasil responden puas kerja presiden prabowo', 'indikator politik indonesia survei kait puas publik kerja presiden prabowo subianto hasil responden puas kerja presiden prabowo']"
28,20,28_bikin visi aksi_prabowo bikin visi_bikin visi_visi aksi,"['bikin visi aksi', 'prabowo bikin visi', 'bikin visi', 'visi aksi', 'kabinet prabowo bikin', 'aksi', 'prabowo bikin', 'bagus kabinet juang', 'kabinet juang', 'aksi sejahtera kerja']","['juang kabinet prabowo bikin visi aksi sejahtera kerja bagus kabinet', 'kerja bagus kabinet juang kabinet prabowo bikin visi aksi ketentraman', 'kerja bagus kabinet juang kabinet prabowo bikin visi aksi ketentraman']"
29,19,29_visi_kabinet_visi aksi sejahtera_aksi sejahtera,"['visi', 'kabinet', 'visi aksi sejahtera', 'aksi sejahtera', 'prabowo visi aksi', 'sejahtera', 'kerja bagus kabinet', 'bagus kabinet', 'kerja bagus', 'aksi']","['juang kabinet prabowo visi aksi sejahtera kerja bagus kabinet', 'kerja bagus kabinet kerja keras kabinet prabowo visi aksi sejahtera', 'kerja keras kabinet prabowo visi aksi sejahtera kerja bagus kabinet']"
30,19,30_jokowi_era jokowi_bersih_sekian,"['jokowi', 'era jokowi', 'bersih', 'sekian', 'era', 'harga', 'turun', 'pakai', 'presiden', 'prabowo']","['pakai salam khas jokowi prabowo uni orang cerdas ber ilmu zul ngak pakai era jokowi kerja bersih', 'prabowo uzon tebak buah manggis salah tebak tebar racun sadis raih nkri maju butuh pimpin mumpuni lanjut kerja presiden ubah mundur mubajir positif thinking gusar presiden prabowo profesional', 'prabowo puji menteri era jokowi tim bagus pakai kuat presiden prabowo puji kerja menteri menteri era jokowi prabowo bawa menteri jabat era jokowi detikcom']"
31,19,31_bgt_spanduk_kereeeen_prabowo kereeeen,"['bgt', 'spanduk', 'kereeeen', 'prabowo kereeeen', 'main', 'tdi coop jojo', 'tdi coop', 'tdi', 'tampil bagus mudh', 'tampil bagus']","['duhh spanduk beliin spanduk ynwa doong', 'lucu bgt cekikik slama main seru bgt trnyata nikki', 'kereeeen prabowo kereeeen tahan kerja indonesia negara islam hilang suara milu']"
32,18,32_puas kerja presiden_prabowo subianto_subianto_presiden prabowo subianto,"['puas kerja presiden', 'prabowo subianto', 'subianto', 'presiden prabowo subianto', 'rakyat puas kerja', 'rakyat puas', 'presiden', 'presiden prabowo', 'puas kerja', 'rakyat indonesia puas']","['rakyat puas kerja presiden prabowo subianto', 'rakyat puas kerja presiden prabowo subianto', 'rakyat puas kerja presiden prabowo subianto']"
33,18,33_kenal_prabowo tuh_tuh_bikin adil,"['kenal', 'prabowo tuh', 'tuh', 'bikin adil', 'menteri prabowo tuh', 'tuh kenal', 'prabowo tuh kenal', 'lelah bikin', 'kenal lelah bikin', 'kenal penat']","['menteri prabowo tuh hustle kenal lelah bikin adil nyata kerja bagus kabinet', 'menteri prabowo tuh kenal lelah bikin adil wujud kerja bagus kabinet', 'kabinet prabowo tuh hustle kenal lelah bikin adil wujud kerja bagus kabinet']"
34,17,34_agama_menteri agama_umar_nasaruddin umar,"['agama', 'menteri agama', 'umar', 'nasaruddin umar', 'nasaruddin', 'selamat', 'selamat sukses', 'menteri', 'kabinet merah', 'kabinet merah putih']","['selamat sukses prof nasaruddin umar menteri agama menteri kerja optimal pemerintahaan prabowo gibran kabinet merah putih kerja nilai hasil survey centre for indonesia strategi action cisa', 'assalamu alaikum tabik sahabatreligipesisirbarat selamat sukses prof nasaruddin umar menteri agama menteri kerja optimal pemerintahaan prabowo gibran kabinet merah putih kerja', 'selamat sukses menteri agama menteri kerja optimal perintah prabowo gibran kabinet merah putih kerja']"
35,17,35_kabinet_kabinet prabowo_bagus kabinet_kerja bagus kabinet,"['kabinet', 'kabinet prabowo', 'bagus kabinet', 'kerja bagus kabinet', 'kerja bagus', 'rakyat', 'bagus', 'bagus kabinet rakyat', 'rakyat tanggung', 'larut']","['putus ambil kabinet prabowo fokus rakyat jebak drama politik kerja bagus kabinet', 'prabowo main main kabinet full dedication rakyat mvp beneran kerja kerja bagus kabinet', 'kerja kabinet prabowo langsung tuju larut larut drama politik produktif kerja bagus kabinet']"
36,16,36_prabowo tuh fokus_tuh fokus_adil nyata_adil nyata kerja,"['prabowo tuh fokus', 'tuh fokus', 'adil nyata', 'adil nyata kerja', 'tuh fokus bikin', 'prabowo tuh', 'fokus bikin adil', 'fokus bikin', 'tuh', 'bikin adil nyata']","['misi menteri prabowo tuh fokus bikin adil nyata kerja bagus kabinet', 'tugas kabinet prabowo tuh fokus bikin adil nyata kerja bagus kabinet', 'tugas kabinet prabowo tuh fokus bikin adil nyata kerja bagus kabinet']"
37,16,37_lari_maraton_lari maraton_menteri kabinet prabowo,"['lari', 'maraton', 'lari maraton', 'menteri kabinet prabowo', 'menteri kabinet', 'kabinet menteri kabinet', 'prabowo lari', 'prabowo lari maraton', 'bagus kabinet menteri', 'kabinet menteri']","['fokus tuju prinsip pegang menteri kabinet prabowo lari maraton lari capai garis finish kerja bagus kabinet', 'menteri kabinet prabowo lari maraton fokus tuju sejahtera rakyat indonesia kerja bagus kabinet', 'menteri kabinet prabowo lari maraton mudah lelah juang sejahtera rakyat kerja bagus kabinet']"
38,15,38_banjir_juta rumah_rumah_juta,"['banjir', 'juta rumah', 'rumah', 'juta', 'program juta rumah', 'program juta', 'juta rumah prabowo', 'rumah prabowo', 'relokasi', 'program']","['huni rawan banjir program juta rumah prabowo solusi', 'program juta rumah prabowo solusi relokasi huni bahaya banjir', 'program juta rumah prabowo solusi huni area banjir']"
39,15,39_tepatsolutifindonesia_erickthohir_bumn_berita,"['tepatsolutifindonesia', 'erickthohir', 'bumn', 'berita', 'erick thohir', 'thohir', 'erick', 'bumn erickthohir', 'bumn erickthohir tepatsolutifindonesia', 'erickthohir tepatsolutifindonesia']","['indikator rilis daftar menteri kerja baik erick thohir salah baik kabinet prabowo gibran berita bumn erickthohir tepatsolutifindonesia indikator menteriterbaik prabowogibran', 'kerja menteri bumn erick thohir apresiasi presiden prabowo berita bumn erickthohir tepatsolutifindonesia presidenprabowo', 'presiden prabowo apresiasi kerja menteri bumn erick thohir berita bumn erickthohir tepatsolutifindonesia presidenprabowo zelena']"
40,15,40_teamwork_adil makmur_makmur nyata kerja_makmur nyata,"['teamwork', 'adil makmur', 'makmur nyata kerja', 'makmur nyata', 'adil makmur nyata', 'nyata kerja bagus', 'teamwork adil makmur', 'teamwork adil', 'makmur', 'nyata kerja']","['menteri prabowo bukti teamwork bikin adil makmur nyata kerja bagus kabinet', 'menteri prabowo bukti teamwork bikin adil makmur nyata kerja bagus kabinet', 'menteri menteri prabowo bukti teamwork bikin adil makmur nyata kerja bagus kabinet']"
41,14,41_mimpi_mimpi rakyat indonesia_mimpi rakyat_rakyat indonesia,"['mimpi', 'mimpi rakyat indonesia', 'mimpi rakyat', 'rakyat indonesia', 'kabinet prabowo henti', 'kabinet', 'prabowo henti', 'rakyat indonesia kerja', 'indonesia', 'prabowo henti mimpi']","['tekad kuat kabinet prabowo henti mimpi rakyat indonesia kerja bagus kabinet', 'kabinet prabowo henti mimpi rakyat indonesia nyata kerja bagus kabinet', 'kabinet prabowo henti mimpi rakyat indonesia nyata kerja bagus kabinet']"
42,14,42_danantara_ngeliat prabowo_danantara bikin_ngeliat,"['danantara', 'ngeliat prabowo', 'danantara bikin', 'ngeliat', 'banget', 'liat', 'kayak prabowo', 'danantara ngeliat prabowo', 'banget danantara', 'prabowo banget']","['motivasi liat prabowo optimis banget danantara semangat beneran nular', 'tegas prabowo ngebahas danantara bikin percaya hadap tantang', 'ngeliat prabowo banget danantara bikin optimis']"
43,14,43_hukum_pemerintahtegashukum_tegak_pemerintahtegashukum prabowo,"['hukum', 'pemerintahtegashukum', 'tegak', 'pemerintahtegashukum prabowo', 'pemerintahtegashukum kerja prabowo', 'pemerintahtegashukum kerja', 'pertegashukumindonesia', 'adil', 'tega hukum', 'tega']","['kerja prabowo tega hukum bikin rakyat percaya pemerintahtegashukum', 'kerja prabowo tega hukum teladan adil pemerintahtegashukum', 'prabowo bawa tega hukum adil kerja perintah prabowo bikin hukum tegak adil pemerintahtegashukum']"
44,13,44_komitmenpemerintahuntukcasn_cepat_casn_cpns pppk,"['komitmenpemerintahuntukcasn', 'cepat', 'casn', 'cpns pppk', 'cpns', 'pppk', 'prabowo komitmenpemerintahuntukcasn', 'angkat', 'pppk cepat', 'cepat angkat']","['kerja prabowo cepat angkat casn bukti reformasi birokrasi tanggap zaman komitmenpemerintahuntukcasn', 'gercep prabowo cepat angkat casn bukti kerja layak acung jempol komitmenpemerintahuntukcasn', 'ending nanti cpns pppk cepat bukti nyata kerja presiden prabowo komitmenpemerintahuntukcasn']"
45,13,45_desaterdepanuntukindonesia_desaterdepanuntukindonesia harikerjanyata_desa_desaterdepanuntukindonesia harikerjanyata prabowo,"['desaterdepanuntukindonesia', 'desaterdepanuntukindonesia harikerjanyata', 'desa', 'desaterdepanuntukindonesia harikerjanyata prabowo', 'presiden prabowo menteri', 'harikerjanyata prabowo', 'harikerjanyata', 'kerja kabinet merah', 'bangun', 'prabowo menteri']","['puas masyarakat kerja kabinet merah putih desaterdepanuntukindonesia harikerjanyata prabowo', 'tri desa pdt bangun desa bangun indonesia kerja kabinet merah putih moga kemendes pdt maju desa desaterdepanuntukindonesia harikerjanyata presiden prabowo menteri', 'kerja kabinet merah putih desaterdepanuntukindonesia harikerjanyata prabowo']"
46,13,46_bagus kabinet prabowo_prabowo ajak_rakyat kerja bagus_ajak,"['bagus kabinet prabowo', 'prabowo ajak', 'rakyat kerja bagus', 'ajak', 'rakyat kerja', 'kabinet prabowo ajak', 'ajak kabinet', 'prabowo ajak kabinet', 'rakyat', 'kabinet prabowo']","['prabowo ajak menteri komitmen wujud bahagia adil rakyat kerja bagus kabinet', 'prabowo ajak kabinet fokus bahagia rakyat jadi tuju utama kerja bagus kabinet', 'prabowo ajak kabinet fokus hidup adil rakyat kerja bagus kabinet']"
47,13,47_maydaybermartabat_day_may_may day,"['maydaybermartabat', 'day', 'may', 'may day', 'damai', 'may day damai', 'day damai', 'maydaybermartabat may day', 'maydaybermartabat may', 'aksi']","['may day damai aksi turun jalan angkat wibawa kerja indonesia maydaybermartabat', 'aksi may day damai jitu anak muda bawa ubah ngelakuin aksi nekat maydaybermartabat', 'may day damai solusi aksi positif maydaybermartabat']"
48,13,48_ubah_ubah nyata_tim_nyata,"['ubah', 'ubah nyata', 'tim', 'nyata', 'bawa ubah nyata', 'bawa ubah', 'bawa', 'nyata lini', 'omong', 'omong kosong']","['menteri prabowo keras janji omong kosong ubah nyata kerja bagus kabinet', 'tim solid prabowo bawa ubah nyata aspek hidup rakyat kerja bagus kabinet', 'tim tangguh prabowo bawa ubah nyata lini perintah kerja bagus kabinet']"
49,12,49_kerja kabinet_apresiasi kerja kabinet_kabinet paripurna presiden_paripurna presiden prabowo,"['kerja kabinet', 'apresiasi kerja kabinet', 'kabinet paripurna presiden', 'paripurna presiden prabowo', 'paripurna presiden', 'kabinet paripurna', 'sidang kabinet', 'paripurna', 'sidang kabinet paripurna', 'prabowo apresiasi kerja']","['pimpin sidang kabinet paripurna presiden prabowo apresiasi kerja kabinet rakyat', 'pimpin sidang kabinet paripurna presiden prabowo apresiasi kerja kabinet rakyat', 'pimpin sidang kabinet paripurna presiden prabowo apresiasi kerja kabinet rakyat']"
50,12,50_adil nyata_menteri prabowo fokus_adil nyata kerja_prabowo fokus,"['adil nyata', 'menteri prabowo fokus', 'adil nyata kerja', 'prabowo fokus', 'prabowo fokus adil', 'tugas', 'fokus adil nyata', 'fokus adil', 'nyata kerja bagus', 'bagus kabinet tugas']","['tugas menteri prabowo fokus adil nyata kerja bagus kabinet', 'tugas menteri prabowo fokus adil nyata kerja bagus kabinet', 'tugas menteri prabowo fokus adil nyata kerja bagus kabinet']"
51,11,51_bem_bem kristiani apresiasi_kristiani apresiasi kerja_kristiani apresiasi,"['bem', 'bem kristiani apresiasi', 'kristiani apresiasi kerja', 'kristiani apresiasi', 'bem kristiani', 'kristiani', 'apresiasi kerja', 'apresiasi kerja perintah', 'prabowo gibran bem', 'gibran bem']","['bem kristiani apresiasi kerja perintah prabowo gibran', 'bem kristiani apresiasi kerja perintah prabowo gibran', 'bem kristiani apresiasi kerja perintah prabowo gibran']"
52,11,52_integrasi milik_integrasi_integrasi milik pertamina_milik pertamina mitra,"['integrasi milik', 'integrasi', 'integrasi milik pertamina', 'milik pertamina mitra', 'mitra strategis', 'milik pertamina', 'mitra strategis kerja', 'strategis kerja', 'strategis kerja bagus', 'pertamina mitra strategis']","['perintah presiden prabowo resmi pltgu integrasi milik pertamina mitra strategis kerja bagus', 'perintah presiden prabowo resmi pltgu integrasi milik pertamina mitra strategis kerja bagus', 'perintah presiden prabowo resmi pltgu integrasi milik pertamina mitra strategis kerja bagus']"
