Topic,Count,Name,Representation,Representative_Docs
9,161,9_hrs_lbh_mrk_msh,"['hrs', 'lbh', 'mrk', 'msh', 'kerja', 'prabowo', 'kpd', 'bpk', 'rakyat', 'thn']","['kerja kah ampe debatin prabowo mulu kalo kau scrool twtku noh jga bkn orang pro krjaan kena efisiensi benci prabowo tpi liat jga kerja msalah korupsi smua bobrok kalo ganjar anis presiden bsa berjln lbh', 'bgmn catat kait kerja program prabowo nilai thdp kerja prabowo subianto penilaiain thdp kerja gibran rakabuming nilai thdp kerja menteri kepala badan dll', 'bgmn catat kait kerja program prabowo nilai thdp kerja prabowo subianto nilai thdp kerja gibran rakabuming nilai thdp kerja menteri kepala badan dll']"
10,100,10_kinerjaprabowoterbukti_prabowo gibran_gibran_kerja prabowo gibran,"['kinerjaprabowoterbukti', 'prabowo gibran', 'gibran', 'kerja prabowo gibran', 'gibran kinerjaprabowoterbukti', 'prabowo gibran kinerjaprabowoterbukti', 'masyarakat', 'kinerjaprabowoterbukti kerja', 'kerja kinerjaprabowoterbukti', 'kerja prabowo']","['publik nyata puas kerja prabowo gibran kinerjaprabowoterbukti', 'dukung bangga masyarakat puas kerja prabowo gibran kinerjaprabowoterbukti', 'apresiasi kerja prabowo gibran kinerjaprabowoterbukti']"
11,87,11_kinerjaprabowoterbukti_dapet_kinerjaprabowoterbukti kerja prabowo_prabowo gibran dapet,"['kinerjaprabowoterbukti', 'dapet', 'kinerjaprabowoterbukti kerja prabowo', 'prabowo gibran dapet', 'gibran dapet', 'prabowo gibran', 'kinerjaprabowoterbukti kerja', 'gibran', 'kerja prabowo gibran', 'kerja prabowo']","['kerja prabowo gibran dapet nilai bagus publik kinerjaprabowoterbukti', 'survei kerja prabowo gibran dapet nilai bagus banget kinerjaprabowoterbukti', 'kerja prabowo gibran dapet nilai masyarakat puas kinerjaprabowoterbukti']"
12,82,12_survei_kerja prabowo_kredibel_survei kredibel,"['survei', 'kerja prabowo', 'kredibel', 'survei kredibel', 'masyarakat', 'baru', 'puas', 'puas kerja prabowo', 'masyarakat puas', 'survei baru']","['survei baru masyarakat puas kerja prabowo dapat', 'dasar survei kredibel masyarakat puas kerja prabowo', 'survei kredibel masyarakat puas kerja prabowo']"
13,77,13_presidenprabowo_prabowosubianto_presidenprabowo prabowosubianto_gsn,"['presidenprabowo', 'prabowosubianto', 'presidenprabowo prabowosubianto', 'gsn', 'prabowogibran', 'perintah', 'presiden', 'presiden prabowo', 'kabinet merah putih', 'kabinet merah']","['tinggi tingkat puas publik kerja perintah prabowo subianto gibran rakabuming raka ingat keras presidenprabowo prabowosubianto indonesiamaju indonesiaemas dekade', 'survei cisa bukti mayoritas publik puas kerja prabowo gibran kerja kunjung website resmi gsn gsn gerakansolidaritasnasional prabowogibran', 'survei cisa bukti publik puas kerja perintah prabowo gibran kerja kunjung website resmi gsn gsn gerakansolidaritasnasional prabowogibran']"
14,66,14_sehat_cek_cek sehat_sehat gratis,"['sehat', 'cek', 'cek sehat', 'sehat gratis', 'cek sehat gratis', 'gratis', 'gratis prabowo', 'sehat gratis prabowo', 'sehat cek', 'sehat cek sehat']","['bukti cinta sehat cek sehat gratis prabowo', 'sehat cek sehat gratis prabowo ikut', 'prabowo sehat cek sehat gratis']"
15,64,15_tni_purnawirawan_preman_purnawirawan tni,"['tni', 'purnawirawan', 'preman', 'purnawirawan tni', 'panglima', 'panglima tni', 'hercules', 'try sutrisno', 'try', 'sutrisno']","['prabowo panggil satu purnawirawan tni istana', 'prabowo panggil satu purnawirawan tni istana', 'prabowo panggil satu purnawirawan tni istana']"
16,62,16_danantara_tegas_prabowo danantara_tegas prabowo,"['danantara', 'tegas', 'prabowo danantara', 'tegas prabowo', 'optimisme', 'danantara bikin', 'optimisme prabowo', 'bikin', 'bikin danantara', 'danantara prabowo']","['tegas prabowo ngebahas danantara bikin percaya hadap tantang', 'optimisme tegas prabowo danantara alas tetep gas', 'prabowo danantara bikin percaya hadap']"
17,53,17_yocku_haris yocku_haris_makan,"['yocku', 'haris yocku', 'haris', 'makan', 'jayapura', 'gratis', 'program makan', 'makan gratis', 'makan gizi gratis', 'gizi gratis']","['sukoharjo sukses jayapura program makan gizi gratis presiden prabowo jalan terima kasih haris yocku', 'pamekasan dukung program makan gizi gratis presiden prabowo terima kasih wakil bupati jayapura haris yocku apresiasi', 'cianjur ajar jayapura haris yocku program makan gizi gratis presiden prabowo udah bukti hasil']"
18,49,18_mulyani_sri mulyani_sri_temu,"['mulyani', 'sri mulyani', 'sri', 'temu', 'apresiasi kerja kabinet', 'lapor', 'istana', 'presiden prabowo', 'kerja menteri', 'negosiasi tarif']","['pimpin sidang kabinet paripurna presiden prabowo apresiasi kerja kabinet rakyat', 'pimpin sidang kabinet paripurna presiden prabowo apresiasi kerja kabinet rakyat', 'sri mulyani temu prabowo istana lapor hasil negosiasi tarif trump kerja apbn']"
19,49,19_polisi_kapolri_polri_kerja polisi,"['polisi', 'kapolri', 'polri', 'kerja polisi', 'benah', 'ganggu', 'kerja polri', 'tindak', 'laku', 'presiden']","['prabowo angkat topi kerja polisi caci maki kerja keras jaga', 'prabowo angkat topi kerja polisi caci maki kerja keras jaga', 'ketidakpuasan rakyat kerja polri warga desak polri benah presiden prabowo laku upaya kongkrit kondisi polri jatuh mata warga polri laku layan warga parcok']"
20,49,20_survei_cigmark_publik_puas,"['survei', 'cigmark', 'publik', 'puas', 'prabowo gibran', 'gibran', 'survei cigmark', 'program', 'perintah prabowo gibran', 'maret']","['komisianda tingkat puas publik kerja prabowo gibran salah lembaga survey capai persen kerja evaluasi program program prabowo gibran jalan program mbg komentar streaming', 'nanti diskusi interaktif malam tingkat puas publik kerja prabowo gibran salah lembaga survei capai persen kerja evaluasi program program prabowo gibran jalan program mbg', 'nanti diskusi interaktif malam tingkat puas publik kerja prabowo gibran salah lembaga survei capai persen kerja evaluasi program program prabowo gibran jalan program mbg']"
21,48,21_ekonomi_makan_gratis_makan gratis,"['ekonomi', 'makan', 'gratis', 'makan gratis', 'program', 'program makan', 'tumbuh', 'nilai', 'stabilitas', 'approval']","['mayoritas guna puas kerja prabowo subianto presiden tingkat approval dasar diskusi baru program sosial makan gratis stabilitas ekonomi puji kritik potong anggar ekspansi militer', 'nilai kerja presiden prabowo wapres gibran approval rating berkat program makan gratis stabilitas ekonomi tumbuh tantang protes mahasiswa bijak konsisten efisiensi kabinet', 'kasih rating kerja prabowo maret publik kasih dukung program makan gratis stabilitas ekonomi tumbuh deflasi feb protes potong anggar ekspansi militer plus khawatir']"
22,46,22_rakabuming_gibran rakabuming_gibran rakabuming raka_rakabuming raka,"['rakabuming', 'gibran rakabuming', 'gibran rakabuming raka', 'rakabuming raka', 'raka', 'presiden gibran rakabuming', 'presiden gibran', 'wakil presiden', 'wakil presiden gibran', 'prabowo subianto']","['jaksa lampung pimpin kuntadi catat capai kerja dukung program prioritas presiden prabowo subianto wakil presiden gibran rakabuming raka kabinet merah putih', 'bidang tindak pidana khusus jaksa catat kerja pimpin jaksa agung burhanuddin utama dukung program prioritas presiden prabowo subianto wakil presiden gibran rakabuming raka', 'survei litbang kompas periode januari tingkat puas publik kerja perintah presiden prabowo subianto wakil presiden gibran rakabuming raka prabowosubianto gibranrakabuming jokowi']"
23,45,23_kinerjaprabowoterbukti_kinerjaprabowoterbukti kerja_prabowo bikin_bikin,"['kinerjaprabowoterbukti', 'kinerjaprabowoterbukti kerja', 'prabowo bikin', 'bikin', 'kerja prabowo bikin', 'presiden prabowo bikin', 'kinerjaprabowoterbukti kerja presiden', 'kinerjaprabowoterbukti kerja prabowo', 'bikin publik', 'prabowo bikin publik']","['puzzle pas kerja presiden prabowo bikin masyarakat puas kinerjaprabowoterbukti', 'kerja prabowo bikin publik hopeful kinerjaprabowoterbukti', 'kerja presiden prabowo bikin rakyat optimis kinerjaprabowoterbukti']"
24,42,24_gimana_kalo_kerja emang_kerja prabowo,"['gimana', 'kalo', 'kerja emang', 'kerja prabowo', 'nanya', 'prabowo kerja', 'prabowo gimana', 'koq gimana', 'gimana prabowo kerja', 'prabowo koq gimana']","['kerja emang kasi tugas prabowo', 'kalo kenal kali salah kalo langsung nanya gimana kerja prabowo', 'gpp dok wajar nanya nanya gimana kerja prabowo dokter bingung gimana']"
25,39,25_mbg_bandung_program mbg_program,"['mbg', 'bandung', 'program mbg', 'program', 'mbg presiden prabowo', 'mbg presiden', 'program mbg presiden', 'mudah', 'gizi', 'presiden prabowo']","['bandung barat harap berkat program mbg presiden prabowo semangat atas gizi', 'anak anak bandung sehat berkat program mbg presiden prabowo mudah mudah pamekasan bagi', 'keren program mbg presiden prabowo bandung sukses atas gizi moga bandung barat rasa dampak']"
26,36,26_direksi_bumn_danantara_direksi bumn,"['direksi', 'bumn', 'danantara', 'direksi bumn', 'evaluasi', 'praktik', 'manajemen', 'kerja direksi', 'evaluasi kerja', 'evaluasi kerja direksi']","['presiden prabowo subianto direksi bumn tinggal praktik praktik simpang evaluasi kerja direksi bumn videoberita adadikompas', 'presiden prabowo subianto direksi bumn tinggal praktik praktik simpang evaluasi kerja direksi bumn polhuk adadikompas', 'presiden prabowo subianto direksi bumn tinggal praktik praktik simpang evaluasi kerja direksi bumn polhuk adadikompas']"
27,35,27_mudik_polri_arus_apresiasi,"['mudik', 'polri', 'arus', 'apresiasi', 'kerja polri', 'apresiasi kerja', 'arus mudik', 'aman', 'lebaran', 'apresiasi kerja polri']","['presiden prabowo subianto apresiasi kerja polisi selenggara arus mudik arus idul fitri', 'apresiasi polri arus mudik presiden polisi caci maki kerja keras korlantas polri jakarta presiden prabowo subianto apresiasi kerja polisi selenggara arus mudik arus idul fitri', 'apresiasi polri arus mudik presiden polisi caci maki kerja keras korlantas polri jakarta presiden prabowo subianto apresiasi kerja polisi selenggara arus mudik arus idul fitri']"
28,32,28_kinerjaprabowoterbukti kerja presiden_kinerjaprabowoterbukti kerja_kinerjaprabowoterbukti_kerja presiden prabowo,"['kinerjaprabowoterbukti kerja presiden', 'kinerjaprabowoterbukti kerja', 'kinerjaprabowoterbukti', 'kerja presiden prabowo', 'kerja presiden', 'presiden prabowo', 'presiden', 'dampak positif', 'bangun', 'dampak']","['kerja presiden prabowo bawa dampak positif luas kinerjaprabowoterbukti', 'kerja presiden prabowo hasil dampak positif bangun bangsa kinerjaprabowoterbukti', 'kerja presiden prabowo dampak positif aspek hidup masyarakat kinerjaprabowoterbukti']"
29,31,29_merah putih prabowo_putih prabowo_putih prabowo tppbersamamenteridesa_koperasi,"['merah putih prabowo', 'putih prabowo', 'putih prabowo tppbersamamenteridesa', 'koperasi', 'merah putih', 'putih', 'merah', 'desa', 'bentuk', 'bentuk koperasi']","['tppbersamamenteridesa musdesus bentuk koperasi merah putih prabowo', 'tppbersamamenteridesa musdesus bentuk koperasi merah putih prabowo', 'tppbersamamenteridesa musdesus bentuk koperasi merah putih prabowo']"
30,30,30_tuh gaspol_gaspol_kabinet tuh_tuh,"['tuh gaspol', 'gaspol', 'kabinet tuh', 'tuh', 'tuh gaspol realisasi', 'gaspol realisasi', 'realisasi', 'kabinet tuh gaspol', 'visi', 'menteri tuh']","['guys visi prabowo rakyat kabinet tuh gaspol realisasi kerja bagus kabinet', 'guys visi prabowo future masyarakat oke kabinet tuh gaspol realisasi kerja bagus kabinet', 'gess visi presiden prabowo rakyat oke menteri tuh gaspol realisasi kerja bagus kabinet']"
31,28,31_tunjang_thr_tunjang kerja_asn,"['tunjang', 'thr', 'tunjang kerja', 'asn', 'pln', 'komponen', 'tni polri', 'tukin', 'padam', 'listrik padam']","['prabowo tegas komponen tukin thr asn cair jakarta presiden prabowo subianto komponen tunjang kerja tunjang raya thr aparatur sipil negara asn pns pppk tni polri penuh tukin', 'presiden prabowo subianto komponen tunjang kerja tunjang raya thr aparatur sipil negara asn pns pppk tni polri penuh', 'presiden prabowo subianto komponen tunjang kerja tunjang raya thr aparatur sipil negara asn pns pppk tni polri penuh']"
32,26,32_gibran_prabowo gibran_kerja prabowo gibran_kalo,"['gibran', 'prabowo gibran', 'kerja prabowo gibran', 'kalo', 'nilai', 'puas kerja prabowo', 'ngak', 'kerja prabowo', 'kalo gibran', 'prabowo ngak']","['kalo depan hasil survey kerja nama gibran kalo nama presiden prabowo ngak sebut prabowo gibran', 'terus nyinyir sam biar ngenes rakyat semakn puas kerja perintah prabowo gibran rakyaa optimis masadepan perintah prabowo prabowo', 'kasih saran peluang dithn sekjen pbb ganti antonio guteres orang buang kerja ngak beres prabowo']"
33,25,33_dosen_tunjang_tunjang kerja_tukin,"['dosen', 'tunjang', 'tunjang kerja', 'tukin', 'dosen asn', 'asn', 'menteri didik', 'kerja tukin', 'bayartukindosenkemdiktisaintek', 'kerja dosen']","['adaks jateng diy dukung aksi aliansi dosen asn kemdiktisaintek indonesia tuntut tunjang kerja dosen hak hukum prabowo tukinforall bayartukindosenkemdiktisaintek', 'dukung aliansi dosen asn kemdiktisaintek indonesia tuntut tunjang kerja dosen hak hukum prabowo tukinforall bayartukindosenkemdiktisaintek', 'dukung aksi aliansi dosen asn kemdiktisaintek indonesia tuntut tunjang kerja dosen hak hukum prabowo tukinforall bayartukindosenkemdiktisaintek']"
34,24,34_kenal_prabowo tuh_bikin adil_menteri prabowo tuh,"['kenal', 'prabowo tuh', 'bikin adil', 'menteri prabowo tuh', 'tuh', 'kenal lelah bikin', 'lelah bikin', 'prabowo tuh kenal', 'tuh kenal', 'bagus kabinet menteri']","['menteri prabowo tuh hustle kenal lelah bikin adil nyata kerja bagus kabinet', 'menteri prabowo tuh kenal lelah bikin adil wujud kerja bagus kabinet', 'kabinet prabowo tuh hustle kenal lelah bikin adil wujud kerja bagus kabinet']"
35,23,35_prabowo rancang bikin_rancang bikin_prabowo rancang_rancang,"['prabowo rancang bikin', 'rancang bikin', 'prabowo rancang', 'rancang', 'bagus kabinet langkah', 'kabinet langkah', 'langkah', 'happy', 'rancang bikin rakyat', 'langkah menteri']","['langkah menteri prabowo rancang bikin rakyat kian happy secure kerja bagus kabinet', 'langkah menteri prabowo rancang bikin rakyat kian happy aman kerja bagus kabinet', 'kerja bagus kabinet langkah menteri prabowo rancang bikin rakyat kian happy aman']"
36,23,36_strategis_strategis kerja bagus_strategis kerja_resmi pltgu,"['strategis', 'strategis kerja bagus', 'strategis kerja', 'resmi pltgu', 'resmi pltgu integrasi', 'pltgu', 'prabowo resmi pltgu', 'milik pertamina', 'integrasi milik pertamina', 'pltgu integrasi']","['perintah presiden prabowo resmi pltgu integrasi milik pertamina mitra strategis kerja bagus', 'perintah presiden prabowo resmi pltgu integrasi milik pertamina mitra strategis kerja bagus', 'perintah presiden prabowo resmi pltgu integrasi milik pertamina mitra strategis kerja bagus']"
37,22,37_masyarakat puas kerja_masyarakat puas_puas kerja kerja_puas kerja,"['masyarakat puas kerja', 'masyarakat puas', 'puas kerja kerja', 'puas kerja', 'kerja kerja prabowo', 'persen masyarakat puas', 'persen masyarakat', 'kerja kerja', 'persen', 'prabowo persen']","['persen masyarakat puas kerja kerja prabowo', 'persen masyarakat puas kerja kerja prabowo', 'persen masyarakat puas kerja kerja prabowo']"
38,22,38_buruh_monas_day_may,"['buruh', 'monas', 'day', 'may', 'may day', 'hadir', 'ingat', 'ingat buruh', 'mayday', 'monas prabowo']","['puncak ingat may day buruh mei besok langsung lapang monas jakarta hadir ratus ribu buruh tuntut buruh hadap presiden prabowo rencana hadir tuntut', 'buruh ingat may day monas prabowo hadir', 'menteri sekretaris negara mensesneg prasetyo had presiden prabowo subianto hadir ingat buruh internasional may day mei monas jakarta hadir presiden prabowo penuh undang organisasi buruh']"
39,22,39_erickthohir_tepatsolutifindonesia_thohir_erick,"['erickthohir', 'tepatsolutifindonesia', 'thohir', 'erick', 'erick thohir', 'berita', 'bumn', 'berita bumn erickthohir', 'berita bumn', 'erickthohir tepatsolutifindonesia']","['kerja menteri bumn erick thohir kerja kabinet prabowo bincang dapat berita presidenprabowo harikerja erickthohir menteribumn detik tepatsolutifindonesia', 'presiden prabowo apresiasi kerja menteri bumn erick thohir berita bumn erickthohir tepatsolutifindonesia presidenprabowo zelena', 'kerja kabinet prabowo penasaran kerja menteri bumn erick thohir berita presidenprabowo harikerja erickthohir menteribumn detik tepatsolutifindonesia']"
40,20,40_engine_fokus baik_nyata fokus_nyata fokus baik,"['engine', 'fokus baik', 'nyata fokus', 'nyata fokus baik', 'fokus baik masyarakat', 'baik masyarakat', 'visi nyata fokus', 'baik masyarakat kerja', 'prabowo tuh', 'visi nyata']","['guys kabinet prabowo tuh engine bikin visi nyata fokus baik masyarakat kerja bagus kabinet', 'guys cabinet prabowo tuh engine bikin visi nyata fokus baik masyarakat kerja bagus kabinet', 'guys menteri prabowo tuh engine bikin visi nyata fokus baik masyarakat kerja bagus kabinet']"
41,20,41_menteri agama_agama_nasaruddin umar_nasaruddin,"['menteri agama', 'agama', 'nasaruddin umar', 'nasaruddin', 'umar', 'selamat sukses', 'gibran kabinet', 'prabowo gibran kabinet', 'selamat', 'menteri']","['selamat sukses prof nasaruddin umar menteri agama menteri kerja optimal pemerintahaan prabowo gibran kabinet merah putih kerja nilai hasil survey centre for indonesia strategi action cisa', 'assalamu alaikum tabik sahabatreligipesisirbarat selamat sukses prof nasaruddin umar menteri agama menteri kerja optimal pemerintahaan prabowo gibran kabinet merah putih kerja', 'selamat sukses menteri agama menteri kerja optimal perintah prabowo gibran kabinet merah putih kerja']"
42,20,42_tpplampung_tpplampung prabowo_tppbersamamenteridesa tpplampung_tppbersamamenteridesa tpplampung prabowo,"['tpplampung', 'tpplampung prabowo', 'tppbersamamenteridesa tpplampung', 'tppbersamamenteridesa tpplampung prabowo', 'putih tppbersamamenteridesa tpplampung', 'desa merah', 'desa merah putih', 'bentuk koperasi desa', 'koperasi desa merah', 'tpplampung prabowo musdesus']","['musdesus bentuk koperasi desa merah putih tppbersamamenteridesa tpplampung prabowo', 'musdesus bentuk koperasi desa merah putih tppbersamamenteridesa tpplampung prabowo', 'musdesus bentuk koperasi desa merah putih tppbersamamenteridesa tpplampung prabowo']"
43,20,43_reshuffle_reshuffle kabinet_menteri_menteri kerja buruk,"['reshuffle', 'reshuffle kabinet', 'menteri', 'menteri kerja buruk', 'kerja buruk', 'buruk', 'reshuffle cepat', 'presiden reshuffle', 'isu reshuffle kabinet', 'rencana reshuffle']","['rencana reshuffle menteri masalah april prabowo ganti menteri didik februari kerja buruk lapor kontroversi menteri muncul reshuffle', 'isu reshuffle kabinet merah putih kerja prabowo menteri kerja buruk', 'reshuffle recycle publik prabowo reshuffle kabinet kabinet akomodasi kabinet kerja tanya reshuffle kerja kursi ganti pion oligarki pegang kendali']"
44,19,44_indonesia maju kerja_maju kerja bagus_maju kerja_indonesia maju,"['indonesia maju kerja', 'maju kerja bagus', 'maju kerja', 'indonesia maju', 'prabowo tuh', 'makmur indonesia maju', 'makmur indonesia', 'tuh', 'tuh ngerti', 'prabowo tuh ngerti']","['guys menteri menteri prabowo tuh ngerti rakyat makmur indonesia maju kerja bagus kabinet', 'guysss menteri menteri prabowo tuh ngerti rakyat makmur indonesia maju kerja bagus kabinet', 'gin menteri menteri prabowo tuh ngerti rakyat makmur indonesia maju kerja bagus kabinet']"
45,19,45_kerja hasil nyata_kerja hasil_hasil nyata kerja_hasil nyata,"['kerja hasil nyata', 'kerja hasil', 'hasil nyata kerja', 'hasil nyata', 'visi prabowo bikin', 'visi prabowo', 'kerja keras', 'senang', 'nyata kerja bagus', 'menteri kerja keras']","['bestie visi prabowo bikin masyarakat senang menteri menteri kerja keras deliver kerja hasil nyata kerja bagus kabinet', 'sob visi prabowo bikin masyarakat senang menteri kerja keras antar kerja hasil nyata kerja bagus kabinet', 'guys visi prabowo bikin masyarakat senang menteri menteri kerja keras antar kerja hasil nyata kerja bagus kabinet']"
46,17,46_kerja presiden prabowo_puas kerja presiden_prabowo masyarakat_kerja presiden,"['kerja presiden prabowo', 'puas kerja presiden', 'prabowo masyarakat', 'kerja presiden', 'prabowo masyarakat puas', 'presiden prabowo masyarakat', 'masyarakat puas kerja', 'masyarakat puas', 'presiden prabowo', 'puas kerja']","['masyarakat puas kerja presiden prabowo', 'masyarakat puas kerja presiden prabowo', 'masyarakat puas kerja presiden prabowo']"
47,17,47_wib_pkl_pkl wib_prabowo gibran simak,"['wib', 'pkl', 'pkl wib', 'prabowo gibran simak', 'gibran simak', 'politik highlevelkompastv', 'nugraha amat politik', 'nugraha amat', 'nugraha', 'muhaimin iskandar pemred']","['litbang kompas rilis survei kerja perintah prabowo gibran simak diskusi menko muhaimin iskandar pemred kompastv yogi nugraha amat politik highlevelkompastv minggu januari pkl wib', 'litbang kompas rilis survei kerja perintah prabowo gibran simak diskusi menko muhaimin iskandar pemred kompastv yogi nugraha amat politik highlevelkompastv minggu januari pkl wib', 'litbang kompas rilis survei kerja perintah prabowo gibran simak diskusi menko muhaimin iskandar pemred kompastv yogi nugraha amat politik highlevelkompastv minggu januari pkl wib']"
48,17,48_kinerjaprabowoterbukti_bukti_kerja prabowo nyata_nyata,"['kinerjaprabowoterbukti', 'bukti', 'kerja prabowo nyata', 'nyata', 'kinerjaprabowoterbukti bukti', 'bukti nyata', 'hasil', 'prabowo nyata', 'prabowo nyata kinerjaprabowoterbukti', 'kerja prabowo']","['daerah dampak kerja prabowo nyata kinerjaprabowoterbukti', 'aman nyaman hasil kerja prabowo nyata kinerjaprabowoterbukti', 'fakta fakta lapang bukti kerja prabowo nyata kinerjaprabowoterbukti']"
49,17,49_desaterdepanuntukindonesia_desaterdepanuntukindonesia harikerjanyata_desaterdepanuntukindonesia harikerjanyata prabowo_harikerjanyata,"['desaterdepanuntukindonesia', 'desaterdepanuntukindonesia harikerjanyata', 'desaterdepanuntukindonesia harikerjanyata prabowo', 'harikerjanyata', 'harikerjanyata prabowo', 'desa', 'presiden prabowo menteri', 'prabowo menteri', 'bangun', 'menteri desaterdepanuntukindonesia']","['survei kerja kabinet prabowo gibran prabowo menteri desaterdepanuntukindonesia harikerjanyata desaterdepanuntukindonesia', 'kerja menteri desaterdepanuntukindonesia harikerjanyata prabowo', 'kerja kabinet merah putih desaterdepanuntukindonesia harikerjanyata prabowo']"
50,16,50_retret_janji prabowo dar_masuk angin_masuk angin monitor,"['retret', 'janji prabowo dar', 'masuk angin', 'masuk angin monitor', 'lembaga janji prabowo', 'prabowo kerja polisi', 'prabowo dar omon', 'angin monitor', 'angin monitor kerja', 'monitor kerja lembaga']","['target kerja jangka tahun maksud prabowo wacana gegabah statement gambar ambisi gebu periode', 'masuk angin monitor kerja lembaga janji prabowo dar omon', 'masuk angin monitor kerja lembaga janji prabowo dar omon']"
