,full_text,label,text_processed,label_num
57,@Agungsyaputraa @ARSIPAJA @ARSIPAJA Approval rating Prabowo (80.9%) berdasarkan survei Kompas Januari 2025 mengukur kepuasan publik terhadap kinerja kemungkinan meliputi ekonomi dan kesejahteraan sosial meski indikator spesifik kurang jelas. Rating ini menunjukkan dukungan publik yang kuat tapi bukan,neutral,approval rating prabowo dasar survei kompas januari ukur puas publik kerja liput ekonomi sejahtera sosial indikator spesifik rating dukung publik kuat,0
58,@prabowo Bacot ngentot ya ini hate speech atas kinerja Lu Yang omong kosong Lu orang mau sebut gw anak abah musuh rezim antek asing gw kaga peduli. Look at you dirty bastard penjahat HAM Yang bahkan ga bisa mempertanggungjawabkan perbuatan lu. #IDIOTBASTARD,negative,bacot ngentot ya hate speech kerja lu omong kosong lu orang gw anak abah musuh rezim antek asing gw kaga peduli look at you y bastard jahat ham ga mempe anggungjawabkan buat lu,2
59,kinerja dan pelayanannya kategori A bisa lah pak @prabowo di approve tukin kemenag 80% https://t.co/iFn26lV7OY,neutral,kerja layan kategori a approve tukin kemenag,0
60,@DokterTifa Perush swasta pun tdk akan mngkin mengutus bpknya wakil direktur utk urusan kinerja perush tsb apalagi bpknya wakil direktur tsb tdk bekerja di perush tsb di pemerinth prabowo koq malah utus bpknya wapres utk urusan kenegaraan? akibat bocil dipaksa mjd wapres,positive,perush swasta tdk mngkin utus bpknya wakil direktur utk urus kerja perush tsb bpknya wakil direktur tsb tdk perush tsb pemerinth prabowo koq utus bpknya wapres utk urus negara akibat bocil paksa mjd wapres,1
61,Survei Indonesia Social Insight (IDSIGHT) mengungkapkan penilaian publik terhadap kinerja pemerintahan Prabowo-Gibran masih bertengger cukup tinggi dengan 74 6 persen respons positif atas kepemimpinan Presiden Prabowo Subianto. #presidenprabowo #prabowo #pemerintah https://t.co/lW2zmhyPRi,negative,survei indonesia social insight idsight nilai publik kerja perintah prabowo gibran be engger persen respons positif pimpin presiden prabowo subianto,2
62,Dukungan rakyat untuk Presiden Prabowo Danantara terus menguat! Dalam enam bulan pertama masa kepemimpinannya kinerja Presiden Prabowo mendapatkan penilaian positif sebesar 74 6% berdasarkan riset independen dari Indonesia Social Insight (IDSIGHT). https://t.co/IMn2bMVIcr,positive,dukung rakyat presiden prabowo danantara kuat enam pe ama pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight idsight,1
63,@budibukanintel_ @bang_dasco Dih wajar dong gua nuntut kinerja prabowo lah gua pendukung dan pemilih nya lah lu siapa tong menilai gua kaya gitu kocak lu,neutral,dih wajar gua nuntut kerja prabowo gua dukung pilih nya lu tong nilai gua kaya gitu kocak lu,0
64,@Lembayung071 @gibran_tweet @prabowo @DedynurPalakka @setkabgoid @KemensetnegRI Kinerja nyatanya ap! Selama 6 bln. ,neutral,kerja ap bln,0
65,Dukungan rakyat untuk Presiden Prabowo Danantara terus menguat! Dalam enam bulan pertama masa kepemimpinannya kinerja Presiden Prabowo mendapatkan penilaian positif sebesar 74 6% berdasarkan riset independen dari Indonesia Social Insight .#DukunganRakyat #PrabowoDanantara https://t.co/gRrHtuosVW,negative,dukung rakyat presiden prabowo danantara kuat enam pe ama pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight,2
66,Dukungan rakyat untuk Presiden Prabowo Danantara terus menguat! Dalam enam bulan pertama masa kepemimpinannya kinerja Presiden Prabowo mendapatkan penilaian positif sebesar 74 6% berdasarkan riset independen dari Indonesia Social Insight (IDSIGHT). https://t.co/RGhnzXgaDO,negative,dukung rakyat presiden prabowo danantara kuat enam pe ama pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight idsight,2
67,Dukungan rakyat untuk Presiden Prabowo Danantara terus menguat! Dalam enam bulan pertama masa kepemimpinannya kinerja Presiden Prabowo mendapatkan penilaian positif sebesar 74 6% berdasarkan riset independen dari Indonesia Social Insight (IDSIGHT). #DukunganRakyat #Danantara https://t.co/3aFF7BuuuR,negative,dukung rakyat presiden prabowo danantara kuat enam pe ama pimpin kerja presiden prabowo nilai positif dasar riset independen indonesia social insight idsight,2
68,Kita Apresiasi atas kinerja kementerian sektor pangan dan pertanian yang alhamdulillah berhasil dalam program langan nya sehingga kita mampu surplus beras di saat negara²lain krisis beras Trimakasih @prabowo @gibran_tweet Optimis dibawah kepemimpinan Prabowo-Gibran Indonesia https://t.co/uhK33GHbDM,negative,apresiasi kerja menteri sektor pangan pe ani alhamdulillah hasil program lang nya surplus beras negara krisis beras trimakasih optimis bawah pimpin prabowo gibran indonesia,2
69,@Heraloebss @DivHumas_Polri harusnya bapak memperbaiki kinerja anggota anda bukan malah menekan rakyat dengan video klarifikasi. Pak @prabowo kalau bapak tdk mau mengganti Kapolri maka sy yakin kinerja polisi akan terus hancur.,positive,baik kerja anggota tekan rakyat video klarifikasi tdk ganti kapolri sy kerja polisi hancur,1
70,Segeralah ? @mprgoid @DPR_RI diagendakan .. mengingat politik yg lg riuh gempita dan mengingat kinerja pak presiden @prabowo semakin tak konsen serta mengusulkan @puanmaharani_ri @AgusYudhoyono utk itu .. apakah dan bagaimanakah ??@Gerindra @PDI_Perjuangan @PDemokrat,negative,segera agenda politik yg lg riuh gempita kerja presiden konsen a usul utk,2
71,Baru lihat ini. Duh ‍️ Approval Rating itu bkn pengakuan dunia mas. Itu survei kepuasan publik terhadap kinerja Presiden. Publik yg jadi sample bkn warga negara lain tapi masyarakat sendiri. Untuk pak @prabowo kalau tak salah rating 81% itu mengutip survei Litbang Kompas.,negative,lihat duh approval rating bkn aku dunia mas survei puas publik kerja presiden publik yg sample bkn warga negara masyarakat salah rating kutip survei litbang kompas,2
72,Prabowo Capai Kinerja 74 6% dalam 6 Bulan: Fokus pada Komunikasi dan Isu Ekonomi - https://t.co/Q42WQrJBph,negative,prabowo capai kerja fokus komunikasi isu ekonomi,2
73,NOTE Duet Terbaik Kinerja Positif Pemerintahan #Prabowo_Gibran Tentu Ini Melampaui Kinerja Presiden Sebelumnya,neutral,note duet baik kerja positif perintah lampau kerja presiden,0
74,Pak Amran Nasution Kerja dia Bagus.. Dia gak usah direshuffle.. Kalau pak @prabowo @Gerindra susah menilai kinerja para menteri Biar kami rakyat yang menilai kinerja para menteri...karena banyak yg gak bagus menteri bapak..,negative,amran nasution kerja bagus gak direshuffle susah nilai kerja menteri biar rakyat nilai kerja menteri yg gak bagus menteri,2
75,@wildanmm6 @SianiparRismon @prabowo ada isu ini malah senang..karena tak ada yang mengoreksi kinerja dia ..,negative,isu senang koreksi kerja,2
76,Harus diakui ada beberapa pembantu anda pak @prabowo yg memiliki kinerja baik.tapi llebih banyak lagi yg hanya show bacot doang. Anda hrs bs membuktikan ucapan sbagai pemimpin segera lakukan pembenahan pd pembantu2 anda. https://t.co/oGeNtqMbJP,negative,aku bantu yg milik kerja llebih yg show bacot doang hrs bs bukti ucap sbagai pimpin laku benah pd bantu,2
77,@CakKhum Kalau soal pidato Bapak Prabowo dapat nilai 100 tapi kalau soal kinerja dan prestasi? Cuma omon-omon.,neutral,pidato prabowo nilai kerja prestasi omon omon,0
78,Survei Kinerja 6 Bulan Prabowo-Gibran Masih Cukup Tinggi https://t.co/JY4jVqXqbG,negative,survei kerja prabowo gibran,2
79,@Kimberley_PS08 @Ndons_Back Prabowo dah ky Mulyono Cma main2in angka survei buat ngukur kinerja nya.itu bknny dta survey Litbang kompas jg yg jdi rujukan ? Fakta ihsg ambruk Rp anjlok Dya beli masarakat turun Pabrik ttup Phk di mna2 investor kabur Kalian pd ttp mata Klo Prabowo itu = jkowi 3 periode,negative,prabowo dah ky mulyono cma main in angka survei ngukur kerja nya bknny dta survey litbang kompas jg yg jdi rujuk fakta ihsg ambruk rp anjlok dya beli masarakat turun pabrik ttup phk mna investor kabur pd ttp mata klo prabowo jkowi periode,2
80,@KangManto123 Mulyonoooooo Tolong kasih tahu @prabowo &amp; @jokowi tentang... Kinerja Mantan Presiden di Tahun 2024 lalu yg Nggak BECUS! Innalillahi dgn temuan ini! Mudah mudahan Prabowo Ngerti ttg hal ini. Aamin! (Bukan Omon Omon ya) https://t.co/fAiOkliIAU,negative,mulyonoooooo tolong kasih amp kerja mantan presiden yg nggak becus innalillahi dgn temu mudah mudah prabowo nge i ttg aamin omon omon ya,2
81,@IndonesiaJadi Makin percaya sama kinerja Presiden Prabowo MBG bikin desa auto sejahtera dan petani happy,neutral,percaya kerja presiden prabowo mbg bikin desa auto sejahtera tani happy,0
82,@YruQt2XKBnOzz7S @Intel_Imut @prabowo Approval ratings adalah persentase dukungan publik terhadap kinerja seorang pemimpin diukur melalui jajak pendapat. Presiden Prabowo Subianto memiliki rating tinggi sekitar 81% atau lebih tertinggi di antara pemimpin G20 menurut beberapa sumber. Namun ia mungkin tidak muncul,positive,approval ratings persentase dukung publik kerja pimpin ukur jajak dapat presiden prabowo subianto milik rating te inggi pimpin g sumber muncul,1
83,bener banget kata Rahmat Himran kabinet Prabowo wajib tunjukin kinerja terbaik buat atasi masalah rakyat. Percaya perubahan positif segera tiba https://t.co/4LrkjNKgW4,positive,bener banget rahmat himran kabinet prabowo wajib tunjukin kerja baik atas rakyat percaya ubah positif,1
84,@FelixSGL1 Kok gue ngelihatnya ganti menteri ini cuma urusan ganti pemain aja yaa dibanding kinerja mengingat kinerja orangnya Prabowo juga nggak bagus bagus amat (Sugiono Fadly Zon Bapennas). Best deal untuk Prabowo kayag gini sih kalau ganti banyak menteri bakal limbung kabinetnya.,neutral,gue ngelihatnya ganti menteri urus ganti main aja yaa banding kerja kerja orang prabowo nggak bagus bagus sugiono fadly zon bapennas best deal prabowo kayag gin sih ganti menteri limbung kabinet,0
85,@Epricila10 Tidak ada yg meragukan kinerja pak @prabowo yg di ragukan cuman para para fafa fufu,neutral,yg ragu kerja yg ragu cuman fafa fufu,0
86,@GenZNusantara Inovasi Presiden Prabowo lewat MBG buktiin kinerja nyata desa makin hidup,neutral,inovasi presiden prabowo mbg buktiin kerja nyata desa hidup,0
87,@TarunaIkrar @reg_pangan @bpom @prabowo Kurangnya kinerja BPOM Banyak pihak yang merasa bahwa BPOM tidak bekerja secara efektif sehingga menimbulkan masalah bagi para pengusaha yang bergantung pada layanan BPOM.,negative,kurang kerja bpom bpom efektif timbul usaha gantung layan bpom,2
88,@Jumeri_ekas @prabowo @YandriSusanto27 @ArizaPatria @taufikmadjid71 @nursaid @kemendespdt Sukses selalu buat kinerja Pak Menteri ,neutral,sukses kerja menteri,0
