,Unnamed: 0,full_text,label,score
89,89,@BebySoSweet Mestinya kinerja Prabowo aja tanpa Blimbing Wuluh (Fufu-Fafa),neutral,0.9966964721679688
92,92,@pena_kantor @jackjackparrr bener banget bg selama ini kita liat nya selalu bagus dan memuaskan masyarakat jabar ya itu hasil yang positif bgt. cuman yang gua jengkel nya itu pengikut kdm fanatik banget nge bandingin sm kinerja nya prabowo yang proker nya beda dan di jalur yang beda.,negative,0.9788001775741577
94,94,Kinerja Prabowo selama 6 bulan ini memang positif namun belum mampu mendorong pertumbuhan ekonomi hingga 8% pada akhir 2025 ini disebabkan masih belum berakhirnya masa transisi. Prabowo maju kena mundur kena.,positive,0.8477908372879028
102,102,Kinerja Pemerintah #Prabowo_Gibran bertengger tinggi 74 6 %,neutral,0.9954569339752197
105,105,@prabowo Bacot ngentot ya ini hate speech atas kinerja Lu Yang omong kosong Lu orang mau sebut gw anak abah musuh rezim antek asing gw kaga peduli. Look at you dirty bastard penjahat HAM Yang bahkan ga bisa mempertanggungjawabkan perbuatan lu. #IDIOTBASTARD,negative,0.9770379066467285
109,109,@DokterTifa Perush swasta pun tdk akan mngkin mengutus bpknya wakil direktur utk urusan kinerja perush tsb apalagi bpknya wakil direktur tsb tdk bekerja di perush tsb di pemerinth prabowo koq malah utus bpknya wapres utk urusan kenegaraan? akibat bocil dipaksa mjd wapres,positive,0.9118451476097107
112,112,@budibukanintel_ @bang_dasco Dih wajar dong gua nuntut kinerja prabowo lah gua pendukung dan pemilih nya lah lu siapa tong menilai gua kaya gitu kocak lu,neutral,0.9971311092376709
117,117,Dukungan rakyat untuk Presiden Prabowo Danantara terus menguat! Dalam enam bulan pertama masa kepemimpinannya kinerja Presiden Prabowo mendapatkan penilaian positif sebesar 74 6% berdasarkan riset independen dari Indonesia Social Insight .#DukunganRakyat #PrabowoDanantara https://t.co/gRrHtuosVW,negative,0.9568390846252441
128,128,Kita Apresiasi atas kinerja kementerian sektor pangan dan pertanian yang alhamdulillah berhasil dalam program langan nya sehingga kita mampu surplus beras di saat negara²lain krisis beras Trimakasih @prabowo @gibran_tweet Optimis dibawah kepemimpinan Prabowo-Gibran Indonesia https://t.co/uhK33GHbDM,negative,0.9583013653755188
129,129,@Heraloebss @DivHumas_Polri harusnya bapak memperbaiki kinerja anggota anda bukan malah menekan rakyat dengan video klarifikasi. Pak @prabowo kalau bapak tdk mau mengganti Kapolri maka sy yakin kinerja polisi akan terus hancur.,positive,0.9271525144577026
134,134,Prabowo Capai Kinerja 74 6% dalam 6 Bulan: Fokus pada Komunikasi dan Isu Ekonomi - https://t.co/Q42WQrJBph,negative,0.9904284477233887
135,135,NOTE Duet Terbaik Kinerja Positif Pemerintahan #Prabowo_Gibran Tentu Ini Melampaui Kinerja Presiden Sebelumnya,neutral,0.9958939552307129
138,138,@wildanmm6 @SianiparRismon @prabowo ada isu ini malah senang..karena tak ada yang mengoreksi kinerja dia ..,negative,0.9636548757553101
148,148,@YruQt2XKBnOzz7S @Intel_Imut @prabowo Approval ratings adalah persentase dukungan publik terhadap kinerja seorang pemimpin diukur melalui jajak pendapat. Presiden Prabowo Subianto memiliki rating tinggi sekitar 81% atau lebih tertinggi di antara pemimpin G20 menurut beberapa sumber. Namun ia mungkin tidak muncul,positive,0.9425305724143982
159,159,@TarunaIkrar @reg_pangan @bpom @prabowo Kurangnya kinerja BPOM Banyak pihak yang merasa bahwa BPOM tidak bekerja secara efektif sehingga menimbulkan masalah bagi para pengusaha yang bergantung pada layanan BPOM.,negative,0.9610207676887512
161,161,@Jumeri_ekas @prabowo @YandriSusanto27 @ArizaPatria @taufikmadjid71 @nursaid @kemendespdt Sukses selalu buat kinerja Pak Menteri ,neutral,0.9972237348556519
167,167,@KenapeAje @Jamfashion15748 @aboutXid kalo prabowo menang di survey dia percaya surveynya tp kalo dia kalah pasti ngucap begini wkwk lagian gw tuh rakyat gw ngerasain mana yg kinerja nya buruk atau nggak kalo dia jelek ya kritik dong jangan dijilat terus politik baper apanya? gw ngekritik aja dibilang baper wtf https://t.co/2Azpw8ZygL,negative,0.9772126078605652
178,178,@CutSarina5 Saya termasuk tidak percaya akn kinerja pemerintahan @prabowo dengan Koalisi Gemuk di pemerintahan &amp; di @DPR_RI,neutral,0.9972037076950073
191,191,@ARSIPAJA Terimakasih pak Prabowo dan seluruh jajarannya yang sangat kompeten atas kinerja,negative,0.9927731156349182
199,199,Cara jitu kinerja indonesia maju ya @prabowo,negative,0.9795913696289062
206,206,@tadeusiomay anyway jadi keinget narasi yang nangisin prabowo pas di katain kinerja pertahanan 11/100,neutral,0.9976969361305237
234,234,@SingaPKB @prabowo @gibran_tweet @mayorteddy @mohmahfudmd @rockygerung Copot Yandri Mendes kinerjanya hanya MOU saja dan merusak kinerja presiden,neutral,0.9971803426742554
236,236,Bacaan bagus ini. Ayo Pak #Prabowo buktikan kinerja tim ekonomimu. Jangan mau digoblok-goblokin ama Tempo.,negative,0.9956777691841125
238,238,THREAD: Mengapa komunikasi publik pemerintahan Presiden Prabowo berantakan? Bagaimana ini mempengaruhi kinerja pemerintah? Mari kita bahas berdasarkan temuan investigasi terbaru. ,neutral,0.9987478256225586
244,244,LAGIAN NGINGETIN HAL2 YG TIDAK INGIN DIINGAT PRESIDEN PRABOWO HARUSNYA KAN PAHAM GIMANA SAKIT HATI NYA WAKTU DINILAI KINERJA SBAGAI MENHAN DI DEBAT PILPRES,positive,0.9176202416419983
245,245,@tempodotco Questionnaire nya: Apakah anda puas dgn kinerja presiden prabowo? Bila jawaban anda tidak puas tolong berikan alasannya dengan menulis essay minimal 500 kata dan dalam 4 paragraf.,neutral,0.9958621263504028
256,256,Assalamualaikum @prabowo Anda diminta petani datang utk lihat langsung hrg hasil panen brupa gabah jauh d bawah Rp. 6500 sesuai janji anda Buktikan anda sebagai Pemimpin yg dpt mengontrol hrg sembako lbh murah sept mantan mertua mu SOEHARTO. Rakyat menunggu kinerja anda,positive,0.8478442430496216
259,259,@prabowo @KingAbdullahII Pak..lihat tuh kelakuan menteri2 yg klo bapak pergi lawatan ke luar negeri mereka sesuka hati sowan ke c mulyono karena mereka masih menganggap si mulyono ini bos mereka...syuram amat kinerja kek kya gitu..pecat dong masa ga berani ?? Anda kan presiden!,negative,0.9667397737503052
270,270,@Join2019B @prabowo @cakimiNOW @gibran_tweet @bpkri @OmbudsmanRI137 Tdk punya kinerja yg jelas Mendes Pa Prabowo ganti saja.,neutral,0.9955312609672546
278,278,@MardaniAliSera @prabowo Jangan Su' uzon dengan Tebak2 buah Manggis. Salah tebak tebar Racun sadis. Meraih NKRI maju butuh Pemimpin mumpuni melanjutkan Kinerja Presiden sebelum nya. Bukan yg PERUBAHAN membuat mundur atau Mubajir. Positif Thinking... Jgn Gusar Presiden Prabowo Profesional.,positive,0.8470832109451294
286,286,@BANGSAygSUJUD @prabowo @awikuchuz @bitCarli77 @DarekaRendy @DedynurPalakka @IrawanRommi @gtobing2903 @Ndons_Back @Kimberley_PS08 @tonybulumanu @jatmiko99604253 lantas dgn segala itu memperbaiki kinerja dr dirinya. ya ngak lah.,neutral,0.9960695505142212
301,301,@somexthread @ListyoSigitP BERANI PTDH KAPOLSEK DAN JAJARANNYA PAK? @prabowo izin TERTAWA PAK LUCU INI. KINERJA POLISI PATUT DIACUNGKAN 1000 JEMPOL. DUNIA TERTAWA PAK. 2030 INDONESIA BUBAR KALAU GAK BERANI PTDH. PECAT.,negative,0.9842275977134705
304,304,@Anak__Ogi @prabowo Depan: oke bos oke bos Belakang: saya pantau kinerja kamu loh,neutral,0.998241662979126
308,308,@ferrykoto @prabowo Kok Uda meragukan kinerja pak prabs waktu debat pilpres emang GK nonton?,neutral,0.9958570599555969
319,319,@savagerius @yohanestarigan @CutSarina5 @unknowingthink Saya Grok dibuat oleh xAI. Saya tidak takut siapa pun termasuk Prabowo. Pertanyaan tentang menterinya sensitif dan subjektif jadi saya harus hati-hati biar tidak bikin salah paham. Kabinet Prabowo memang besar 109 orang dan ada kritik soal kinerja beberapa menteri seperti,negative,0.9894198179244995
330,330,@txtdrimedia 3 poin untuk kinerja @prabowo dan kroni2nya,neutral,0.9960468411445618
334,334,Kinerja Polri dalam mengatur lalu lintas mudik Lebaran 2025 semakin membaik. Arus kendaraan lebih tertib angka kecelakaan menurun drastis. Presiden Prabowo pun memberi apresiasi langsung atas dedikasi Polri menjaga keselamatan masyarakat. #PolriPresisi #PolriBersamaRakyat https://t.co/hbT2o5X3Fr,positive,0.8519961833953857
343,343,Cerita Presiden Prabowo Punya Tim Pertanian Hebat Apresiasi Kinerja Mentan dan Wamentan https://t.co/eHDY6xf88a,negative,0.9753062129020691
345,345,@ARSIPAJA Yg paling hebat ya rakyat yg udah milih Prabowo! Selamat menikmati kinerja junjungan mu,negative,0.9924601912498474
356,356,@5lamate @pandji @jokowi secara mental jadi politikus ngibulnya jokowi masih bisa alus dan ga temperamen wkwkw. meskipun ga lebih baik secara kinerja sebagai presiden. kalau prabowo ini mau se denial apapun pendukungnya dia beneran temperamen dan kultur siap ndan nya sangat ga cocok buat politisi wkwkwk,positive,0.9554290771484375
359,359,@Arti_SebuahRasa Meski ada tekanan tarif Trump Prabowo berhasil mempertahankan kinerja ekonomi #KolaborasiPerkuatEkonomi,negative,0.9960541725158691
375,375,Prabowo Angkat Topi untuk Kinerja Polisi: Paling Dicaci Maki tapi Kerja Keras Jaga Kita! https://t.co/quYLcgEqYe,negative,0.9856780171394348
376,376,Upaya Prabowo pastikan bahwa tarif Trump tidak mengganggu kinerja ekonomi kita #KolaborasiPerkuatEkonomi,negative,0.998917818069458
381,381,@DS_yantie Rendah HATI &amp; RASIONAL harap seluruh jajaran pemerintahan meningkatkan kinerja ...memperbaiki kinerja PEMERINTAHAN yg @prabowo pimpin agar lebih baik dlm menjalankan AMANAT RAKYAT menuju INDONESIA EMAS @bang_dasco @jokowi @SBYudhoyono @RahayuSaraswati @Gerindra @bahlillahadalia,neutral,0.9966689944267273
387,387,@prabowo @pco_ri Jadi beliau mengikuti arus. Dengan jujur diakui dan meyebutkan apa penyebab mengapa komunikasi itu bisa dianggap jelek. Bagian pengakuan ini yang menjadi penting untuk kita bahas terkait kinerja @pco_ri yang dianggap jelek oleh banyak orang. https://t.co/usmt9MTAB3,positive,0.8534998297691345
388,388,@Dahnilanzar @prabowo Seorang pemimpin yang baik terhadap rakyatnya semata mata untuk kesejahteraan rakyat nya harusnya meng eliminasi pembantu pembantu yang gak becus dalam kinerja nya,positive,0.9092733860015869
390,390,@kuningpagi @TirtoID Bahasa query-nya Indonesia jadi aku jawab pake bahasa yang sama. Kalau ngasih nilai buat kinerja pemerintahan Prabowo berdasarkan polling awal 2025 rakyat kasih skor tinggi sekitar 80% puas. Jadi 11/100 yang lu bilang kayaknya kegedean buat nyindir tapi kecilan banget https://t.co/CXCY0hAlUs,negative,0.9657484889030457
393,393,Prabowo menjelaskan besaran THR dan gaji ke-13 yang diberikan meliputi gaji pokok tunjangan melekat serta tunjangan kinerja sebesar 100 persen bagi ASN pusat prajurit TNI-Polri dan para hakim https://t.co/Au7OmpXVZ1 via @tribunnews,negative,0.9727097749710083
417,417,@mailags @TirtoID Iya akurat. Prabowo Subianto memang beri nilai 6 dari 10 untuk kinerja pemerintahannya sesuai laporan https://t.co/9vAjhQeEWk dan https://t.co/nC0dz5wJBG pada 7-8 April 2025. Dia bilang ini passing grade dalam wawancara. https://t.co/ISbWbJTky7,negative,0.9638530611991882
418,418,@ARSIPAJA Kurikulum dan indikator mutu kinerja TNI dan Polri adalah urus padi dan tanam jagung Pasti digembleng 200 SKS pertanian dalam pendidikannya @prabowo memang jhosssss okegas,positive,0.9247440099716187
424,424,Prabowo Beri Nilai 6 dari 10 atas Kinerja Pemerintahannya https://t.co/rR85FJnr2m,positive,0.9446308016777039
425,425,@bengkeldodo @prabowo mungkin bisa dijelaskan kaitan kinerja pemerintah dengan panen serentak ini? Program pemerintah yg berhasil ataukah nebeng panen nya rakyat...?,neutral,0.9977976083755493
427,427, Harus survey ke rakyat tentang kepuasan kinerja pemerintah jgn ke kaum intelektual di Jakarta yg cenderung curiga sama pemerintah. Prabowo bilang kalo tidak ada TNI siapa yg paling dulu terjun ke bencana macam tsunami aceh? Jaga natal tahun baru dll? @intinyadeh,neutral,0.9950844645500183
428,428,@BANGSAygSUJUD @prabowo @tonybulumanu @G3nX_files @hasanudinsajid @jatmiko99604253 @Ndons_Back @gtobing2903 @yusufagro @kiwalipitu @99propaganda @satriamadang88 tambah massif aja buzzer sejalan sama kinerja wowo yg makin bobrok.... apalah wowo tanpamu para buzzer?..,negative,0.9762678742408752
430,430,@jokowi Yg mumet kpala pak @prabowo imbas kinerja 10thn skr hrs berjibaku. Utang jtuh tempo duit apbn merah.....rakyat keteken..,neutral,0.9968955516815186
432,432,@lucky_wmf @KompasTV @prabowo @KompasTV APA INI BAGIAN DARI KINERJA 150 HARI PEMERINTAH JUGA?,negative,0.9924376606941223
436,436,@KompasTV Yth pres @prabowo segera berantas korupsi dan pungli sampai ke akar-akarnya. Maka otomatis Indonesia akan menjadi negara maju dan sejahtera. Pak Prabowo bisa mencontoh kinerja kang @DediMulyadi71 @setkabgoid @Gerindra,negative,0.9944676160812378
438,438,@KompasTV Yang menggelitik dari pameran kinerja Presiden Prabowo soal ungkap kasus besar adalah pernyataan tanpa data konkret dan perbandingan angka yang sulit diverifikasi. Mengklaim kerugian negara terungkap lebih besar dari 2000-2024 butuh bukti bukan sekadar klaim. Prestasi tidak,negative,0.9847298264503479
448,448,SIAPA YG MAU BAYAR MASSA SEBANYAK ITU??! @prabowo punya otak dipake buat mikir. Muhasabah diri lu nduttt lu gabisa kerja rakyat ga puas sama kinerja pemerintahan lu nihh makanya demo. Penting adanya batas maks usia capres di usia produktif biar ga halu mulu kerjaannya,negative,0.9854238629341125
455,455,@_wargasipil_ @KompasTV Saya kasih nilai 5-6 dari 10 untuk kinerja Prabowo sebagai Presiden RI setelah 6 bulan. Alasannya program makan gratisnya populer tapi pendanaan potong anggaran pendidikan dan kesehatan picu protes mahasiswa Dark Indonesia . Responnya ke dissent kurang baik ada kekhawatiran,positive,0.9047995805740356
461,461,@KompasTV Prabowo aja menilai kinerja nya buruk trus kenapa 58 ngamuk,negative,0.9857682585716248
464,464,@lapen_melon @Opposisi6890 @jokowi Lebih penting mengkritisi kinerja Prabowo ketimbang meributkan ijazah Jokowi yang dianggap palsu. Prabowo sebagai presiden saat ini punya dampak langsung pada pemerintahan dengan 100 hari pertamanya penuh aksi tapi menuai kritik. Sementara isu ijazah Jokowi sudah dikonfirmasi https://t.co/mAxJG9xnnP,positive,0.8215518593788147
467,467,@Beritasatu Ini kinerja @jokowi @prabowo bener gublok mereka ini jd pemimpin ,positive,0.9334346055984497
468,468,@yaniarsim @prabowo tak heran jika diri sendiri menilai kinerja 6 out of 10,negative,0.9969609379768372
472,472,Apresiasi kinerja 150 hari pmrnthn Pres. Prabowo yg ungkap kasus besar. Perlu diungkap dalang kasus besar: judol korupsi pagar laut PIK2 dll? Sejauh ini yg diungkap hanya pemain lapangan. Selain itu sitaan dana dari hasil korupsi tdk diungkap berapa yg masuk ke kas negara? https://t.co/8Of5XLNJJf,positive,0.8997955918312073
479,479,@tokpedshopia @KompasTV Nilai 7 dari 10 umumnya dianggap bagus dalam skala penilaian termasuk di konteks Indonesia. Berdasarkan standar global dan dukungan publik yang tinggi untuk pemimpin seperti Prabowo 7 menunjukkan kinerja di atas rata-rata. Prabowo memberi diri nilai 6 tapi penilaian https://t.co/qu53fk9Qhc,positive,0.8436766862869263
482,482,@KompasTV Murni kinerja Prabowo atau karena perseteruan antar geng politik ? Kalau mau dibilang berhasil ya ngaudit proyek di rejim Jokowi dan bereskan. https://t.co/XWXe94wIwf,negative,0.9957068562507629
497,497,Info buat Presiden @prabowo Banyak Honor yang telah bekerja diatas 2 tahun dan telah mengikuti Ujian P3K tinggal menunggu pengumuman malah diputus kontraknya oleh kepala daerah baru. Aroma pemutusan kontrak honorer itu kebanyakan bernuansa politik. Bukan karena kinerja atau,positive,0.8237479329109192
501,501,@prabowo Semangat pak presiden semoga kinerja bapak d berkati amin lebih fokus lebih kuat n determinasi yg tangguh,neutral,0.9956901669502258
507,507,@cnbcindonesia Selamat atas kinerja anda sekalian para orang2 tolol @prabowo @gibran_tweet @DPR_RI @DPRD,neutral,0.9982746839523315
508,508,@patibratapasha @ARSIPAJA Saya Grok dari xAI. Strategi Prabowo seperti makan gratis hilirisasi dan kerja sama BRICS cukup masuk akal untuk hadapi tarif impor AS fokus pada kesejahteraan dan ekonomi. Nilai 11/100 dari Anies untuk kinerja Prabowo sebagai Menhan lebih ke soal kesejahteraan prajurit bukan,positive,0.9672672748565674
511,511,@Dahnilanzar @soetanbandaro @prabowo Siapapun presiden terpilih punya efforts masing2 pencapaian program pasti banyak lika likunya yg melihat pasti puas atau tdk puas saya rakyat RI ttp mendukung kinerja Pak Presiden Prabowo,negative,0.9828693270683289
534,534,@grok bagaimana kinerja Prabowo-Gibran selama mereka menjabat sejak Oktober 2024 hingga sekarang?,negative,0.9942909479141235
536,536,@keuangannews_id @keuangan Yang gw dukung pak Prabowo bukan yang lain meskipun perlu beberapa waktu untuk menyelesaikan pr masa lalu setidaknya ada konsolidasi agar tak merepotkan pemerintahanya kedepan percaya meski belum sepenuhnya kinerja mmg belum tapi tema yel yel nya bagus untuk rakyat,negative,0.979215145111084
550,550,@WagimanDeep212_ @prabowo Kualitas PNS hasil suap beli jabatan kinerja nol besar .. Yang penting isi absen gaji cair ..,neutral,0.9967899918556213
553,553,@rocaf0rt @prabowo @KemenkeuRI @bank_indonesia Emang ga ada yg lebih gabut dari pemerenfah indon Kinerja mereka ga pantes banget dapet fasilitas sedemikian rupa,positive,0.8664286732673645
589,589,@MARQUEZ__93 @prabowo Jadi solo maju itu bener donk hasil karya menteri dgn dana APBN bukan kinerja dia..sejauh ini blum ada gebrakan apa2 selain cuma bagi ini itu doang...klo cuma gitu aja mah cukup lah rafi ahmad aja cukup...efek pilpres curang menghasilkan anak haram mk begini bgt speknya..kosong,neutral,0.9964256882667542
598,598,Yaa Allah Terima kasih Pak @prabowo ! Joget-koget kampanye anda dulu sudah sukses diikuti oleh generasi muda saat ini. Setidaknya beginilah wajah generasi muda di Sukabumi yang kesehariannya joget-joget demi memungut donasi dari live di app socmed-nya. Luar biasa kinerja https://t.co/ShEhMmCGFL,negative,0.9502778649330139
601,601,@MARQUEZ__93 @prabowo @tempodotco bahas kinerja wapres &amp; apa saja tugas wapres?,neutral,0.9976776242256165
610,610,@rajapardom @UstadzWaloni Gak usah banyak omong lakukan aja yg bisa dilakuin buat nkri kita. beli produk dalam negri majukan usaha mikro kita. Jangan disamakan dengan 98 toh kenaikan hanya berapa % aja. Intinya jangan provokasi n terprovokasi. Kita lihat aja dulu kinerja mereka pak prabowo n jajarannya.,positive,0.9888836741447449
613,613,@democrazymedia Emang Gibran bisa apaaa??? Pa Prabowo rakyat sdh pd tau kinerja nya saat di militer (era Soeharto) pengusaha sukses di Yordania saat Kemenhan (era Jokowi).. Mampu meloby dn komunikasi cukup baik dgn berbagai kepala-kepala negara di dunia dn tokoh-tokoh dunia🇮🇩,neutral,0.9950463771820068
619,619,@democrazymedia Harusnya 87% masyarakat suka kinerja Prabowo Gibran. Kl mo ngebo'ong jgn tanggung2 cuy.,neutral,0.995177149772644
620,620,@grok bagaimana kinerja Prabowo ketika menjadi menhan tahun 2019-2024 dari 1 sampai 10 berapa nilainya?,positive,0.9778240919113159
628,628,@soppyan @ARSIPAJA Berdasarkan survei Cigmark Maret 2025 78% warga Indonesia puas dengan kinerja Prabowo-Gibran di semester pertama. Kepuasan mencakup 68 6% cukup puas dan 9 3% sangat puas terutama di bidang keamanan nasional hubungan internasional dan manajemen bencana. Namun angka https://t.co/nd1mBYdb4H,negative,0.9524637460708618
632,632,@VDSyst3msX Apakah kalian puas dengan kinerja pemerintahan Prabowo Gibran?,neutral,0.9966647028923035
633,633,@setengahkuadrat @ARSIPAJA Angka 78% berasal dari survei Cigmark Research (14-23 Maret 2025) soal kinerja semester pertama pemerintahan Prabowo-Gibran. Survei telepon ke 1200 responden di Indonesia menunjukkan 77 9% puas (dibulatkan jadi 78%) dengan margin of error +/- 2 9%. Liputan6 (28 Maret 2025) https://t.co/kgdrhkbBox,negative,0.9502419829368591
634,634,@1stwineasy @txtdrimedia Survei CiGMark menunjukkan 78% publik puas dengan kinerja Prabowo-Gibran di semester pertama sesuai dengan poling lain seperti KedaiKopi (72 5%) dan Litbang Kompas (80 9%). Program Makan Bergizi Gratis (MBG) jadi faktor utama kepuasan meski ada kritik dari ekonom soal,negative,0.9881149530410767
635,635,@TheCurut007 Karena saran sarannya yang kocak maka Survei kinerja Prabowo - Gibran : 78 % Responden warga RT 58 Puas : Salah satu contohnya : https://t.co/zrirdq1kcT,negative,0.958247721195221
636,636,artinya rakyat harus menilai kebalikannya dari hasil survey yg di rilis oleh lembaga survei tentang kepuasan hasil kinerja prabowo-gibran. sejak detik ini kita harus pakai rumus kebalikan krn semua sudah di atur oleh penguasa,negative,0.9981993436813354
654,654,@mhandikk @txtdrimedia Menurutku survei CIGMark menunjukkan 78% publik puas dengan kinerja Prabowo-Gibran per Maret 2025. Program makan gratis dan tanggap bencana disukai tapi soal lapangan kerja dan hukum masih bikin ragu. Meski ada kontroversi masa lalu Prabowo dan dinasti politik Gibran approval,negative,0.9933022260665894
660,660,@AndreasSolusi Kalau kinerja pemerintah @prabowo bagus tidak mengecewakan ya gak bakal ada yg mencaci maki/mengkritik Menterinya saja GAK BECUS ngurus harga tiket mudik yg MAHAL tiket mudik bus AKAP biasanya 150 ribu naik jadi 400 ribu ,negative,0.9901160597801208
663,663, Survei Cigmark: Mayoritas Publik Puas dengan Kinerja Prabowo-Gibran di Semester Pertama 🇮🇩 Lembaga survei Cigmark Research and Consulting merilis hasil survei terkait Evaluasi Kinerja Pemerintahan Prabowo-Gibran dan persepsi publik terhadap Dewan Pertimbangan Presiden https://t.co/1kGgquUbkW,negative,0.9845970273017883
667,667,@jomokwidodo Publik puas dengan kinerja Prabowo Gibran https://t.co/Af0PnqUbAq,negative,0.9955419898033142
674,674,@prabowo Pakbanyak yg demo pak move untuk perbaiki citra dan kinerja pemerintahan pusat gimana tuh pak,neutral,0.9958304762840271
687,687,@saiful_mujani Ada yg merasa warga kelas super yg merasa paling bisa n boleh segalanya dari bukti sejarah sebutkan prajurit TNI Polri yang dikaryakan dijabatan sipil atau menjabat setelah pensiun kinerja dan prestasinya wow??? Suharto Prabowo ️Tni Polri yg patriot berintegritas,negative,0.9528668522834778
692,692,malu ga si kuliah tp mikir kinerja prabowo bagus,negative,0.9767731428146362
703,703,Perampingan Komisaris BUMN; Langkah Berani Presiden Prabowo Tingkatkan Efisiensi dan Kinerja Perusahaan Pelat Merah! https://t.co/Kn9mDYCtOT,negative,0.9783731698989868
706,706,Tingkatkan Efisiensi dan Kinerja Presiden Prabowo Bakal Rampingkan Jumlah Komisaris BUMN https://t.co/cSsP1j7SPw,negative,0.9687036275863647
712,712,@Mata_Netizen62 @2TRafiS1 @abdimuda_id @alamtegarrrr @Anak__Ogi @AntoniusCDN @ch_chotimah2 @Cintada16 @GM_Warrios @HumorJonTampan @JhonSitorus_18 @DitjenPajakRI @KemenkeuRI ini yang dinamakan #PajakUntukKita ???? Kinerja lu paling buruk hina dan bikin rakyat sengsara. Selamat Cc: @prabowo kerinjamu NDASMU Wo.,neutral,0.9968841671943665
